"zipcode","n1","pp_num","n2","numdep","e00100","e00200","e00300","e00600","e00900","e01000","e01400","e01700","e02500","e03300","FscheA_28","e18425","e18450","e18500","FscheA_9","FscheA_10","e19700","e04800","e07100","e07220","e07180","EIC","e59720","e09600","F1040_57","e10300","a11900gt0","p04470","e00400","e00650","e00700","e00800","e01100","e01500","e02400","e03210","e03220","e03230","e03260","e03270","e03240","e03290","e03400","e03500","e04600","e05100","e05200","e06000","e06200","e06300","e07230","e07240","e07300","e07400","e07600","e07150","e08800","e09400","e09700","e09800","e09900","e10700","e10900","e59560","e59700","e11070","e11100","e11300","e11600","e10605","e12000","e12200","e17500","e19800","e19850","e20550","e20600","e20400","e20500","e21040","e90050","e90190","e90210","e90240","e90250","e90280","e90370","e90100","e22370","e24515","e24516","e25350","e25360","e25370","e25380","e25470","e25500","e25820","e25850","e25860","e25940","e25980","e25920","e25960","e26110","e26170","e26190","e26160","e26180","e26100","e26390","e26400","e30400","e30500","e32800","e33000","e53220","e53240","e53280","e53410","e58950","e58990","e62900","e62720","e62730","e62740","p65300","p65400","e68000","e82200","s27860","p27895","e03150","e05800","e02100","e01200","e02000","e90040","e90080","e25800","e26270","e27200","p60100","p61850","e60000","e62100","t27800","e11900","BusinessGrossProfit","BusinessGrossIncome","CarryoverCharity","Total_Federal_Taxes","irs_county_name","state","statefip","suppressed"
48005,2579,1677,5522,1862,142584,113374,3814,2012,2263,300,3246,12716,3934,0,25899,4110,97,4173,8955,10633,2311,89030,1135,821,23,356,142,65,14416,15218,1101,34940,634,1121,597,158,180,16539,9942,156,21,308,143,159,89,43,7,126,17583,21778,22160,64892,15036,15057,172,16,58,19,13,1010,11628,266,2,0,109,22183,336,0,79,159,253,2,84,15277,201,15,897,2074,1,1020,74,995,78,167,6125,364,200,111,105,111,994,2208,176,208,2400,2819,274,1111,96,31,788,847,1050,938,538,1228,195,839,69,500,10910,57,877,431,268,54,1476,717,17,17,4,4,5,71,415,48,27,573,118,597,513,958,447,135,34,22,212,14064,-241,4,5601,13595,194,425,4507,59,249,434,12956,13967,33,-3431,7470,7664,-218,-3416,"MACOMB","MI",26,2
48007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OAKLAND","MI",26,0
48009,10081,6935,19542,6207,1719401,1125293,79174,94564,57145,231403,40050,53207,25239,11244,329510,82040,595,61756,147867,91374,48941,1404076,9639,1108,231,590,209,13302,356387,369217,23211,316618,30515,67870,5361,552,1023,124971,52867,455,93,1024,6153,5275,2705,414,50,531,69622,448296,508609,138127,440329,56529,436,50,7495,621,324,12677,278058,12538,100,1,758,155526,132126,1,147,407,35034,10,470,373509,25871,358,5664,41069,25,4443,1148,19046,724,20536,82346,7819,3462,870,1149,2709,16345,116608,6955,10880,340565,51756,7624,12122,1455,767,11235,8589,22786,8144,28391,99951,9053,22061,1195,16062,51414,1426,14550,4106,7728,841,32636,9148,132,129,65,114,173,1739,17467,1829,4788,291987,9719,302908,24158,16782,7878,3958,586,342,1257,345127,-2403,1460,174590,240646,10022,8338,149015,384,1998,85342,891602,974192,466,-7934,158300,168322,-8761,-7576,"OAKLAND","MI",26,2
48012,240,122,423,159,16447,12339,495,537,513,628,365,910,334,58,3231,662,15,580,1294,1158,402,11454,99,9006,1134,8654,3768,12893,483818,502353,38978,3276,228,378,32,14,23,1618,627,12,2,19,85,64,16,5,1,12,1215,4127,4070,8406,3358,2966,2,1,25,4,2,1606,47537,169,1,0,14,3403,696,4,10,87,116,0,11,5551,140,4,84,323,0,60,12,147,9,71,1307,121,49,14,16,43,226,1357,49,73,1231,448,61,129,15,7,103,100,204,106,161,462,54,175,11,106,220,11,155,30,64,9,543,101,1068,1068,1,1,1,14,96,14,26,9988,76,10404,153,144,71,59,6,3,22,4195,-36,7,1674,4085,96,70,1360,6,49,878,6648,7531,5,-503,2778,2875,-74,-499,"OAKLAND","MI",26,2
48015,4025,2367,7542,2686,175925,122600,5425,1235,2732,5940,3227,14250,3378,0,21652,4535,97,3430,8445,7991,2142,114290,2833,845,67,1482,649,0,19951,20749,890,44372,669,756,742,200,211,18980,11611,218,23,314,257,234,110,40,9,136,23192,30155,28987,107378,28988,18933,228,30,40,17,11,1260,9921,483,1,1,110,22564,461,6,232,397,992,3,131,15717,250,15,1403,1882,1,1385,94,1414,94,401,8366,597,313,158,151,181,1237,4759,154,286,1376,4133,248,1458,109,26,1020,1100,1193,1211,717,2205,275,1540,67,474,73690,62,1196,607,196,78,2814,728,59,58,3,3,5,70,604,32,13,298,134,317,549,1069,568,105,25,16,247,18650,-394,-37,1101,14690,186,288,-374,72,411,885,11948,13547,26,-6528,6324,6510,-123,-6513,"MACOMB","MI",26,2
48017,6428,3463,11548,3455,317103,266632,5473,3811,7087,3049,7122,21436,6671,0,53173,8803,226,8916,18818,20137,4561,202553,2172,1371,136,815,351,92,32814,34363,2150,80242,1448,2127,1192,383,405,28332,23854,389,50,655,419,393,134,89,17,278,42378,47531,48208,185658,40208,36763,417,45,95,33,23,2162,23829,778,3,1,235,45744,874,2,237,532,380,4,225,33405,386,31,2675,3995,1,2994,211,3794,176,180,14203,928,518,256,249,294,2304,6373,391,393,4655,5940,533,2310,198,59,1646,1935,2121,2162,910,2140,357,1670,139,771,13220,109,1867,700,452,108,4218,1684,107,107,7,7,10,133,732,77,38,1307,195,1369,847,1905,979,243,63,41,497,31088,-589,-16,9555,30781,397,766,7219,136,535,2852,25052,28895,64,-9726,16578,16976,-348,-9695,"OAKLAND","MI",26,2
48021,15492,9264,30851,11921,600081,497610,12262,5652,10124,2052,10953,53152,11961,0,95332,14677,497,15431,32092,36275,11889,340219,5605,3888,402,6601,2932,144,49421,52426,3570,168741,3042,3492,1849,806,815,70549,49488,881,97,1179,973,833,147,152,35,535,98352,76828,77282,384982,87513,67218,828,118,147,42,27,6179,32696,1823,2,3,433,84140,1848,20,789,2045,401,10,566,60884,716,52,6836,10551,2,6847,466,8041,359,177,30806,2272,1214,589,563,698,4703,18626,679,561,6638,12381,914,4572,376,96,3246,4020,4269,4563,1491,3108,662,3379,238,953,8221,197,3890,864,653,262,10458,2908,397,394,12,10,16,221,1251,94,56,2833,232,2972,1322,3694,2022,492,87,57,994,50988,-1407,-146,9251,54215,518,1313,4011,279,1477,7163,43775,53876,96,-28238,23409,23927,-505,-28187,"MACOMB","MI",26,2
48025,7344,4998,15162,5008,1082597,639959,61575,74735,46101,96354,37871,53415,26890,7901,212888,49791,582,36831,90241,56910,32106,867836,4603,998,162,354,142,7177,213191,222349,18398,203039,20162,51909,3408,414,779,118940,55456,324,72,829,4271,3606,1739,293,36,417,51244,275286,307811,88371,284275,46359,285,33,4067,411,218,7914,187700,8717,66,1,554,109494,89642,0,93,286,18734,7,341,249256,15751,238,4186,27917,16,2897,799,11239,505,10703,56505,5045,2320,613,794,1782,11503,71209,5072,6548,194078,34083,5116,7981,986,522,7517,5743,15433,5658,16874,59866,5323,13279,821,10386,31862,926,9738,2779,5173,577,20812,6659,91,89,46,76,114,1143,9474,1201,2590,144628,5814,149750,14835,10832,5012,2587,405,238,848,210693,-1750,889,120991,154762,6531,5770,102420,274,1628,47812,572659,624111,322,-5971,98257,104788,-6366,-5733,"OAKLAND","MI",26,2
48026,7424,4514,14161,4796,348394,279362,8295,5065,7567,196,7864,32609,9120,60,54815,9267,309,9993,20417,20265,5916,218244,2556,1692,115,1761,773,178,35947,37664,2713,87914,1818,2874,1119,405,500,44584,31194,426,53,699,612,767,181,97,19,308,47412,54516,54302,226498,60853,44300,402,57,147,40,27,2853,27266,1171,4,1,256,57682,1747,3,303,648,512,5,270,44725,506,40,3110,5507,2,2385,240,2793,198,315,19846,1601,734,311,320,487,2873,16345,407,489,4510,7313,635,2778,242,71,1999,2250,2498,2521,1165,2050,486,2378,153,1044,12347,138,2458,791,584,160,7324,1804,105,105,9,9,12,166,988,102,72,2089,279,2164,1206,2408,1154,395,74,48,617,36026,-691,-73,13261,41197,1187,896,10226,150,736,4173,45261,51564,73,-12604,21350,22537,-732,-12564,"MACOMB","MI",26,2
48030,7532,4393,14704,5542,236014,204237,2488,1159,5056,50,3760,16105,3586,0,29071,4206,150,4638,9428,11759,2579,125710,2062,1468,106,3817,1738,0,17178,18471,1235,73229,1000,752,655,339,315,21351,15826,404,35,493,491,384,34,56,15,216,44013,27136,26615,169190,35696,26633,382,60,35,10,7,2186,9791,918,0,2,157,31194,733,18,444,1046,115,5,234,21137,257,18,2546,2407,1,2594,132,2339,153,10,14461,1120,599,286,269,342,2117,9617,197,145,1134,4558,317,1969,159,31,1246,1677,1399,1943,466,1109,261,1628,87,226,1797,78,1817,261,182,143,5158,1260,109,108,4,3,5,81,486,22,8,451,33,480,430,1460,859,148,24,16,376,17132,-625,-124,-62,26075,217,318,-2967,119,797,487,2417,3927,30,-12810,11615,11832,-342,-12792,"OAKLAND","MI",26,2
