"zipcode","n1","n2","numdep","pp_num","e00100","e00200","e00300","e00600","e01000","e00900","e02100","e03150","e03300","FscheA_28","e19700","FscheA_9","e09600","e05800","e10300","EIC","e01400","e01700","e02500","e18425","e18450","e18500","FscheA_10","e04800","e07100","e07220","e07180","e59720","F1040_57","a11900gt0","p04470","e00400","e00650","e00700","e00800","e01100","e01500","e02400","e03210","e03220","e03230","e03260","e03270","e03240","e03290","e03400","e03500","e04600","e05100","e05200","e06000","e06200","e06300","e07230","e07240","e07300","e07400","e07600","e07150","e08800","e09400","e09700","e09800","e09900","e10700","e10900","e59560","e59700","e11070","e11100","e11300","e11600","e10605","e12000","e12200","e17500","e19800","e19850","e20550","e20600","e20400","e20500","e21040","e90050","e90190","e90210","e90240","e90250","e90280","e90370","e90100","e22370","e24515","e24516","e25350","e25360","e25370","e25380","e25470","e25500","e25820","e25850","e25860","e25940","e25980","e25920","e25960","e26110","e26170","e26190","e26160","e26180","e26100","e26390","e26400","e30400","e30500","e32800","e33000","e53220","e53240","e53280","e53410","e58950","e58990","e62900","e62720","e62730","e62740","p65300","p65400","e68000","e82200","s27860","p27895","e01200","e02000","e90040","e90080","e25800","e26270","e27200","p60100","p61850","e60000","e62100","t27800","e11900","BusinessGrossProfit","BusinessGrossIncome","CarryoverCharity","Total_Federal_Taxes","irs_county_name","state","statefip","suppressed"
48005,2509,5680,1839,1620,141408,112073,2620,1512,3624,3044,-565,214,3,23188,2712,11623,67,16360,15854,248,2447,9256,2970,3526,149,3906,10688,89116,1119,452,14,99,6592,626,20310,653,1157,367,147,184,1,1408,101,23,263,6,58,23,11,6,147,16482,1420,794,524,1150,5798,70,12,44,11,13,1,3614,5,2,2,37,13065,149,0,66,15,200,2,88,15423,80,10,705,2266,1,412,101,460,86,87,1484,58,36,121,86,18,640,94,410,270,1460,2274,324,906,106,36,681,878,1061,717,590,407,220,914,71,479,1929,59,1435,348,241,21,1,365,12,11,4,5,6,76,304,50,31,1100,149,1149,506,1014,426,161,40,26,16,5410,17603,203,314,4098,65,315,1162,17501,19169,39,-2128,16119,16322,-40,-2118,"MACOMB","MI",26,2
48009,9656,18803,5085,6496,1798393,944392,57987,76923,408190,55263,-330,1348,7667,243455,40697,233734,6938,405896,405663,341,22617,43704,18051,62049,841,50339,90161,1423373,7251,548,107,137,182799,17576,181154,19849,62595,5189,513,1082,12,2399,284,87,913,2409,3277,1189,101,31,592,52308,7327,4210,1821,102081,31000,210,46,5044,370,482,4,244575,4723,115,5,262,42920,100085,0,153,99,48566,9,381,317401,18496,389,3932,31951,28,2354,1127,12476,819,17802,45440,3459,1595,972,1089,1153,12969,47593,12279,12548,72387,63975,8590,16404,1675,872,14009,12485,20569,10445,30338,82582,10212,10966,1306,19385,20389,1623,19886,5939,7264,541,1513,6289,46,44,75,129,197,1984,6862,2083,4974,255148,10905,263913,26834,18939,8970,3997,673,393,1445,165724,225484,8375,6458,161992,431,2037,74270,902580,968787,533,19068,180044,188419,-670,19457,"OAKLAND","MI",26,2
48012,186,290,88,83,19775,8124,316,296,1057,364,-2,14,36,1848,305,1326,30,1993,1982,19,190,590,193,476,12,445,999,10032,72,3663,481,2391,195360,17962,1998,190,252,76,10,15,0,57,6,2,11,11,16,6,1,0,10,1131,207,102,86,414,1750,1,1,26,2,3,1,1362,22,1,0,2,7621,539,0,22,1,277,0,8,3785,120,2,45,220,0,25,12,80,8,84,235,15,8,9,7,5,79,238,71,73,206,382,56,99,12,5,82,72,152,59,208,447,70,97,9,110,278,10,167,47,42,3,5,31,352,352,1,1,1,13,64,11,27,965,60,1003,166,140,65,24,5,3,7,793,2430,59,57,1002,5,26,579,4869,5353,4,-533,2195,2253,-8,-531,"OAKLAND","MI",26,2
48015,3983,7482,2269,2360,167057,119650,4238,1034,8908,2389,0,175,1,21068,2300,10671,37,19461,18435,992,2395,10202,2535,3969,106,3609,8003,114493,2064,490,35,512,9676,378,32223,681,771,362,193,209,1,2668,157,25,281,8,96,23,10,7,139,21028,772,462,425,1092,2934,111,28,93,9,10,3,2584,5,1,2,57,17727,364,0,148,15,710,3,108,13469,171,13,1126,1949,1,383,98,467,99,257,1804,70,52,158,122,23,908,49,326,348,1546,2774,302,932,109,31,704,829,1230,695,805,586,317,733,66,453,1815,66,994,298,203,27,0,553,9,9,4,3,5,73,378,38,76,2172,218,2277,601,986,517,141,27,17,6,3463,13331,135,278,3115,76,230,1595,14432,15987,28,-4126,11527,11662,-34,-4113,"MACOMB","MI",26,2
48017,6270,11175,2606,3415,287470,237997,4449,2748,3594,7373,0,394,234,44119,4774,19822,70,30531,30120,574,5127,17982,5655,7396,271,7894,19993,201818,2110,715,60,235,14522,1035,48035,1221,2031,773,344,396,2,3963,279,48,517,42,292,28,21,13,290,36527,2246,1261,1074,2093,10049,208,46,78,18,19,4,3757,65,2,4,96,21786,1595,0,188,22,426,5,209,35875,328,19,1819,4110,1,642,182,707,180,115,2702,125,95,263,202,46,1573,639,881,363,2924,3572,552,1620,196,59,1274,1485,1920,1277,991,1677,367,1074,144,644,3025,105,1543,543,340,38,24,1018,35,34,7,7,9,133,551,67,50,1635,173,1708,806,1668,804,267,63,41,43,6213,43650,762,486,4706,141,293,1704,22591,24257,65,-7001,40948,41711,-187,-6982,"OAKLAND","MI",26,2
48021,15601,30381,9618,9389,598168,500398,10173,4817,4815,8918,-221,719,58,95872,12943,36215,114,54088,50998,3810,8556,40309,10043,14091,536,15136,39796,364427,5732,2173,224,2032,23497,1646,126199,2440,3471,1385,789,836,4,8491,627,104,1092,45,459,34,42,28,566,89186,3041,1765,1717,2529,13106,467,115,106,30,28,17,4167,42,2,9,234,61655,1271,0,507,41,514,11,479,57287,445,37,4805,10544,2,2083,448,2528,386,100,5944,328,218,608,461,114,3656,393,1441,573,5101,7582,983,3384,393,104,2488,3100,3701,2681,1527,2545,650,2476,264,916,5479,208,3330,872,562,86,12,2243,53,50,12,11,17,234,1100,96,56,2626,225,2757,1309,3369,1830,456,95,63,11,10259,66036,628,766,7895,304,1801,3908,31696,38329,107,-20294,60093,60721,406,-20257,"MACOMB","MI",26,2
48025,7282,15488,4577,4756,1168597,578041,47997,47717,261272,45309,-345,828,5606,189752,44997,159635,5253,258181,259702,224,22336,37144,19366,36770,611,29614,55505,872603,3236,491,93,110,108787,13511,119242,13072,39036,3286,398,821,11,2442,201,68,802,1881,2112,804,74,23,487,39901,6475,3675,1521,64435,27140,121,27,2533,253,328,2,167781,3736,79,4,182,29287,71267,0,170,75,28909,7,286,223612,12029,265,3072,35479,19,1730,828,8891,593,11079,32288,2321,1149,700,753,842,9294,37285,8409,8295,43128,40408,6067,9945,1189,622,8679,7322,15119,6128,20548,53927,6666,7195,941,13417,14899,1120,15407,4242,5167,380,1274,4513,50,48,55,90,136,1374,4170,1423,2609,138964,7160,144112,17660,12646,6020,2783,484,285,1106,120147,168386,6246,5002,119928,320,399,45779,601452,641854,385,12915,136098,142344,1284,13180,"OAKLAND","MI",26,2
48026,7240,14301,4121,4341,334146,265160,7291,4525,3758,6870,-80,520,184,51819,6233,25958,226,35555,34555,1235,5637,25591,7178,8066,371,9044,20496,218946,2453,914,58,577,16205,1150,55478,1618,3347,892,383,463,3,4305,280,54,619,56,371,47,25,15,338,41889,2765,1537,1184,3582,12337,185,50,115,25,29,6,8263,85,4,4,106,23196,1788,0,203,30,708,5,237,42799,432,25,2017,5325,2,903,227,1167,217,222,3571,238,138,318,240,82,1940,1079,1138,566,3960,4607,749,1869,253,81,1493,1789,2480,1505,1363,2147,510,1380,182,999,3849,143,2021,685,524,56,32,1086,27,25,10,10,13,182,702,112,86,3384,329,3542,1209,2177,990,368,85,55,73,10380,49873,933,668,7049,164,407,2654,39554,42799,83,-8303,46301,47234,-262,-8278,"MACOMB","MI",26,2
48030,7760,15007,4918,4691,240215,208328,1987,858,908,4854,-66,154,0,31279,3217,10186,22,19517,18435,2779,2730,12843,2936,4288,157,4667,13548,138762,2325,892,65,1344,8262,579,59729,809,644,428,345,324,1,2408,295,40,480,18,201,6,16,12,219,39818,800,490,561,385,3064,208,57,26,9,6,7,24,10,0,5,101,30130,312,0,343,33,121,6,192,18896,154,14,1983,2642,1,705,149,679,164,1,3312,143,106,298,238,47,1740,0,396,158,964,3135,339,1566,167,34,1004,1340,1324,1141,509,969,277,1364,96,245,1904,86,1521,289,170,46,0,1035,16,15,4,3,5,89,467,24,10,611,35,647,451,1397,804,170,26,18,-68,618,28733,35,213,804,131,489,737,4075,5221,33,-9050,25421,25456,23,-9035,"OAKLAND","MI",26,2
48033,3698,6967,2248,2229,219697,144178,4708,6009,11276,6712,0,150,200,34275,7195,18772,329,28796,28768,959,6203,35877,9338,8889,499,11004,21020,229457,2546,772,134,984,18395,1913,31687,1575,4616,630,209,256,5,5055,140,30,266,45,260,41,14,7,178,23142,2602,1487,947,3442,10591,87,30,188,17,22,9,7478,78,4,2,63,14426,2653,0,138,14,1104,3,170,34310,471,19,1461,5866,1,466,174,1150,123,443,2348,123,79,164,132,45,1119,1064,1101,536,7174,3398,518,1193,146,53,1007,1121,1710,961,1256,1346,430,778,105,800,2498,92,1342,448,371,31,23,614,27,26,6,6,9,117,466,86,160,10921,372,11339,1040,1481,636,285,51,32,68,6340,26820,730,502,6703,89,197,3614,39593,42991,48,-5321,24473,25203,251,-5301,"OAKLAND","MI",26,2
