"zipcode","n1","pp_num","n2","numdep","e00100","e00200","e00300","e00600","e00900","e01000","e01400","e01700","e02500","e03300","FscheA_28","e18425","e18450","e18500","FscheA_9","FscheA_10","e19700","e04800","e07100","e07220","e07180","EIC","e59720","e09600","F1040_57","e10300","a11900gt0","p04470","e00400","e00650","e00700","e00800","e01100","e01500","e02400","e03210","e03220","e03230","e03260","e03270","e03240","e03290","e03400","e03500","e04600","e05100","e05200","e06000","e06200","e06300","e07230","e07240","e07300","e07400","e07600","e07150","e08800","e09400","e09700","e09800","e09900","e10700","e10900","e59560","e59700","e11070","e11100","e11300","e11600","e10605","e12000","e12200","e17500","e19800","e19850","e20550","e20600","e20400","e20500","e21040","e90050","e90190","e90210","e90240","e90250","e90280","e90370","e90100","e22370","e24515","e24516","e25350","e25360","e25370","e25380","e25470","e25500","e25820","e25850","e25860","e25940","e25980","e25920","e25960","e26110","e26170","e26190","e26160","e26180","e26100","e26390","e26400","e30400","e30500","e32800","e33000","e53220","e53240","e53280","e53410","e58950","e58990","e62900","e62720","e62730","e62740","p65300","p65400","e68000","e82200","s27860","p27895","e03150","e05800","e02100","e01200","e02000","e90040","e90080","e25800","e26270","e27200","p60100","p61850","e60000","e62100","t27800","e11900","BusinessGrossProfit","BusinessGrossIncome","CarryoverCharity","Total_Federal_Taxes","irs_county_name","state","statefip","suppressed"
48043,7972,4676,14469,4342,291973,224214,6566,4150,7185,10791,6026,27087,7069,2,44202,6503,250,6960,14618,19364,5406,194732,2066,1385,93,2914,1431,108,30371,32113,2657,82994,1576,2603,814,374,369,37139,21075,390,44,588,501,351,106,51,17,262,43571,41053,44402,141569,35864,27647,370,54,147,16,20,1989,22298,945,3,2,201,43840,981,47,421,763,846,5,245,29234,391,47,3010,4762,1,2466,201,2896,169,337,16546,948,588,292,278,310,2314,9475,1597,455,10261,6174,532,2218,198,54,1583,1931,2095,2223,1125,1611,456,2056,117,727,6418,112,2244,479,423,80,5012,1522,83,83,7,6,9,130,832,72,78,3011,264,3148,929,1946,1014,274,48,31,514,31201,-747,-22,7543,23626,485,530,7778,129,402,3225,32465,36678,49,-8650,7081,7565,-192,-8603,"MACOMB","MI",26,2
48044,23504,14400,54823,18289,1493626,1282834,29037,14733,30812,24652,26887,92341,26551,1585,297066,45888,1149,45538,98611,152390,27183,1034905,12681,9471,691,3542,1590,870,160476,167851,11841,350090,6718,9635,5377,1543,1616,151121,59648,1458,236,3089,3297,3446,756,329,66,1395,184591,237925,245555,508129,141360,164303,1284,126,666,123,163,13661,158493,6284,22,4,1264,202880,12556,14,621,1646,4574,14,848,226517,3303,296,7631,24501,8,8339,916,9664,804,1676,76709,6213,2975,1040,1114,2273,13264,58692,8849,2472,25990,30828,3143,10846,988,362,8125,8592,9968,9651,5736,17533,1861,7394,798,4789,33678,529,8663,3310,2922,294,25140,8804,501,496,47,46,56,774,3695,562,346,9330,1424,9796,4984,10210,3993,1856,411,264,2519,175708,-2807,499,69271,204933,5479,2892,55541,581,2647,26628,262918,298287,379,-30713,128224,133703,-2702,-30418,"MACOMB","MI",26,2
48045,13406,8720,24808,6900,759495,560677,26458,18137,19814,35302,19981,63000,20696,941,131653,21157,896,21623,46512,59153,12005,554829,3929,2311,185,2555,1229,1308,95760,99794,10304,185379,5684,12095,2239,751,818,107746,55037,706,103,1315,1826,1881,591,157,35,611,85388,126806,138714,264555,84324,70602,676,90,615,79,101,4140,98102,3494,19,3,551,96048,13253,14,449,1020,4657,8,486,127683,2912,183,5033,10927,6,4864,527,7007,418,2046,40528,3438,1613,589,640,1142,7108,32280,7171,1924,38525,20421,1996,6379,566,221,5051,5186,6774,5978,4410,12091,1427,5569,418,3478,22366,356,5751,1733,1967,228,13149,4364,138,136,24,29,41,464,2625,398,380,16557,1399,17227,3935,5720,2581,1065,204,127,1294,104130,-1595,225,46261,109168,3329,1755,40905,291,855,13819,193609,212437,184,-13677,68640,71969,-1508,-13494,"MACOMB","MI",26,2
48046,378,240,691,233,11563,8955,205,38,380,17,5,1185,237,1,1853,215,7,260,539,679,209,7220,78,41,1,182,87,0,1076,1209,51,3633,34,20,33,16,14,1441,987,16,2,24,19,15,1,2,1,11,2071,1263,1220,8318,1539,1291,20,3,2,0,0,53,558,35,0,0,5,1427,23,1,13,31,9,0,8,1044,9,1,150,166,0,109,5,92,7,12,957,53,36,14,14,17,102,454,18,8,31,189,15,81,8,2,52,64,63,74,25,58,13,62,4,13,130,4,65,15,9,3,193,58,1,1,0,0,0,5,26,1,1,20,2,22,22,73,35,8,1,1,20,915,-19,-7,22,1647,11,14,51,5,11,23,229,275,2,-423,690,701,20,-422,"MACOMB","MI",26,2
48047,18845,11901,40431,12842,1116729,906113,25723,14912,21775,24934,20397,85931,21047,1111,225190,33759,1100,44367,79880,107601,18536,773150,9099,6626,452,3044,1413,1090,122022,127746,8869,266955,6179,9978,3740,1160,1211,144271,59086,1164,173,2169,2094,2153,573,233,51,996,139808,174724,184371,424440,107290,117873,1066,109,635,90,116,9318,113365,3942,17,4,890,152538,11444,17,573,1414,4493,11,673,162085,2968,220,6995,16524,6,7049,738,8789,596,1973,54840,3901,2023,794,825,1402,9430,32743,7152,2039,28658,23584,2390,7780,733,266,6043,6375,7961,7186,4904,14371,1602,6234,566,3639,23526,413,7151,2259,2199,234,13504,6418,335,335,32,35,43,574,3167,415,372,13126,1298,13682,4212,7646,3288,1377,285,183,1841,133028,-2225,341,48914,123739,3472,2201,42322,435,2108,18050,203538,228394,268,-23307,68899,72371,-1723,-23087,"MACOMB","MI",26,2
48048,3432,2114,7487,2457,139412,120309,1909,667,1991,1560,2584,9558,2467,2,22934,3064,114,3196,6787,11741,1996,87024,1405,1080,73,1245,593,12,11564,12240,762,38572,443,434,483,183,166,12495,7912,206,23,302,176,153,31,26,8,135,21369,18488,18486,75419,17264,15988,188,22,28,7,8,1213,9409,326,1,1,111,24647,243,12,166,330,158,2,104,13633,112,20,1131,1790,0,1395,90,1294,80,41,6746,389,238,123,117,129,1042,3376,417,135,1071,2416,214,969,87,24,656,825,807,955,342,775,148,737,57,244,1971,45,896,221,168,28,1705,668,58,59,3,3,4,54,275,25,12,359,58,378,300,821,433,106,25,16,237,13148,-327,1,2868,9024,180,203,2964,62,160,1046,8024,9519,26,-4437,2278,2458,-167,-4417,"MACOMB","MI",26,2
48050,864,574,1826,524,50359,37787,1469,549,507,1530,1237,4920,1337,1,8260,1362,32,1235,2840,3822,876,35833,296,202,6,149,63,54,5821,6058,486,11753,241,337,163,50,55,6727,3160,49,7,96,35,47,38,11,2,43,5636,8135,8743,18274,5116,4725,54,5,21,5,6,231,6298,65,1,0,38,10157,125,1,24,55,146,1,29,6540,73,11,279,787,0,328,35,354,28,83,2218,113,66,37,36,36,346,660,256,113,1129,1121,119,357,36,14,278,287,413,317,219,398,75,280,25,215,1723,22,318,126,128,14,340,196,4,4,2,2,3,28,134,25,12,307,77,321,206,326,151,61,14,9,83,6271,-96,13,3701,4034,112,94,3804,20,39,607,10418,11177,13,-715,1817,1929,-74,-704,"MACOMB","MI",26,2
48051,7738,4786,16776,5583,394223,341412,5422,2082,6740,5968,5471,27416,6414,4,74882,11145,311,11466,24446,38026,6528,261838,3657,2733,178,1928,938,168,37813,39712,2781,99814,1396,1417,1380,459,441,39221,17296,484,66,871,415,375,141,80,20,373,52419,57223,58783,185883,44450,43295,435,45,110,25,32,3102,33904,765,4,2,319,78641,647,14,297,707,600,5,256,41749,338,65,2540,5707,2,3366,276,3489,217,257,16924,904,551,295,287,298,2682,6780,1402,556,3769,6902,710,2610,245,81,1858,2226,2435,2520,1180,2191,446,1900,171,972,7316,130,2326,744,633,73,3797,1962,139,141,10,10,12,170,824,107,56,1582,292,1667,1018,2345,1100,380,89,58,660,41693,-836,30,17313,25298,611,640,18442,164,362,4750,44092,50729,88,-9191,8374,8985,-377,-9126,"MACOMB","MI",26,2
48062,4502,2987,9611,2832,235007,183558,6333,2981,3641,5811,4569,22478,5868,3,43690,6197,278,7032,14508,20748,4071,158732,1984,1493,64,735,345,107,23742,24833,1743,59115,1158,1906,769,266,275,32098,16008,260,38,492,242,236,102,47,12,215,29899,34716,36860,100724,26380,23618,264,28,103,16,21,1754,20697,444,3,1,182,41349,621,5,165,322,555,3,162,26269,282,41,1908,3619,1,1898,182,2341,127,252,10067,552,328,174,169,183,1610,4026,1298,390,5965,4869,457,1650,149,50,1259,1421,1687,1623,861,1439,309,1304,102,669,5382,83,1536,461,413,47,2139,1154,43,44,6,6,8,107,582,71,54,1847,223,1934,729,1502,703,247,53,34,406,26126,-523,29,10203,16430,400,480,10692,95,219,3209,34329,38650,52,-5048,6363,6762,-235,-5007,"MACOMB","MI",26,2
48065,5394,3354,11460,3454,344579,248125,12938,7814,9347,15077,7881,28242,9171,253,65261,10282,336,10964,23002,28983,7155,250643,1860,1275,58,1075,499,708,44553,46381,4990,79007,2699,5274,1130,304,353,46841,18276,273,45,616,736,790,345,76,15,269,34848,59034,65330,90227,35631,29274,265,30,296,42,55,1863,49364,1413,11,1,244,47533,5069,6,159,356,2252,3,192,59819,1353,92,1952,6391,3,1596,228,2443,189,1183,17906,1428,699,253,277,509,3216,14504,3204,1042,16870,9739,1027,2847,275,115,2281,2176,3500,2408,2380,4739,741,2612,197,1982,14267,181,2653,951,1089,118,5951,1889,40,40,12,16,21,236,1352,220,188,6881,784,7166,2114,2664,1155,529,106,65,548,48646,-665,168,27692,44615,1639,976,25048,127,311,5580,99405,107154,92,-4225,26709,28348,-595,-4133,"MACOMB","MI",26,2
48066,25040,15346,47806,14813,888915,734672,19650,8209,15085,9464,16139,72750,18838,64,132180,18611,677,20932,43000,61295,11587,558823,7979,5754,413,8176,3906,127,74183,78108,5196,266785,3658,5017,2481,1262,1130,106259,85933,1360,143,1752,1562,1338,149,152,54,835,148029,111061,114198,517295,119508,91641,1257,194,233,36,38,7916,52995,2919,3,6,644,114790,3162,75,1186,2687,1127,15,796,89399,931,122,9389,10496,3,9574,579,10126,527,218,48984,3365,1928,870,845,1078,7130,29337,3970,792,13591,17940,1322,6790,545,136,4768,6029,5618,7085,2182,4811,974,4855,342,1254,9479,283,5886,1150,891,183,15614,4496,376,373,16,15,22,316,1838,126,90,3707,324,3914,1875,5398,3023,653,121,80,1714,83287,-2189,-99,9605,88540,1567,1260,8570,412,1098,7893,55654,66400,137,-33826,39556,41123,-1055,-33704,"MACOMB","MI",26,2
48067,13866,7192,22859,5120,829887,690874,16703,15052,30543,44357,12286,34904,11654,1903,131005,24302,430,21345,48502,61501,11824,634650,4222,2054,224,1175,529,954,110761,115820,10058,192693,4733,9740,2580,857,876,57940,31256,867,116,1417,2589,2524,558,169,38,678,90158,143546,155338,338084,106786,85058,919,91,581,79,100,3946,104356,5066,18,3,566,96094,13666,3,327,936,4749,8,453,133429,2935,183,4552,10705,5,4555,451,5287,442,1639,40851,4671,1852,615,677,1513,7854,45372,6845,1856,32828,20898,1969,7078,573,220,5232,5604,6544,6355,4114,13803,1338,5296,443,3296,21497,351,5056,1770,1866,207,19866,5238,153,151,24,29,41,461,2494,379,345,12549,1298,13097,3682,5605,2545,1006,209,131,1408,111537,-1503,152,42033,144625,3568,1677,35778,315,811,10903,178657,194045,194,-13586,103774,107342,-1561,-13403,"OAKLAND","MI",26,2
48068,367,195,572,154,13210,10445,325,112,433,144,44,834,238,2,1820,242,7,238,539,547,210,9845,57,25,1,98,53,10,1635,1741,212,3932,39,50,26,19,17,1054,580,19,2,32,30,17,1,2,1,12,2000,1847,1873,7800,1811,1455,27,3,3,0,0,50,885,59,0,0,7,1574,21,1,24,24,10,0,9,1072,9,2,102,178,0,115,6,100,8,8,727,44,28,13,12,14,104,568,43,8,137,270,18,110,8,2,73,87,75,106,26,62,12,79,5,14,131,4,96,16,10,2,374,62,1,1,0,0,0,4,24,1,1,39,2,41,23,86,42,10,1,1,23,1302,-35,1,-43,1374,10,15,-19,6,19,98,527,665,2,-357,647,657,12,-356,"OAKLAND","MI",26,2
48069,1439,878,2656,682,133296,102546,3245,4148,5793,5707,2575,7327,2913,604,24619,4495,87,5064,10069,10897,2729,107328,499,191,27,54,30,364,21277,22255,1656,27148,994,2650,462,95,129,12385,5961,81,15,190,495,481,187,32,5,89,10029,26594,29381,28319,18960,10746,89,8,135,23,29,480,26651,989,7,0,86,21102,3416,0,42,52,1315,1,53,30072,793,43,561,2347,2,387,82,710,73,597,7662,648,307,85,107,242,1411,10345,1610,460,7355,3491,487,1089,118,58,854,751,1263,804,1021,4504,310,910,102,1004,6700,86,895,438,532,57,3632,889,15,15,6,8,12,115,541,122,90,2376,371,2457,1009,1024,434,228,51,30,195,22497,-213,93,16159,22185,875,276,15031,45,61,1473,53125,55918,42,18,14523,15398,-328,61,"OAKLAND","MI",26,2
48070,3177,2144,6807,2150,372302,245080,10821,16839,18261,42901,6701,17101,8602,2970,66089,13538,169,12584,27526,25599,8996,310233,1810,650,135,86,35,1564,62928,66469,6094,73675,3811,10946,1150,201,312,32089,14098,146,35,409,1590,1361,585,87,12,207,22633,77975,90763,42895,47209,23029,133,13,587,71,89,2170,76874,3210,21,0,216,46569,15769,0,28,118,5626,2,112,86350,3133,130,1265,7555,5,1104,239,2624,191,2342,19662,1903,787,225,293,648,4106,23064,5851,1689,36796,9942,1526,2843,338,172,2355,1979,3842,2069,3680,17351,1113,3202,299,3174,18944,263,2604,1192,1638,177,6098,2665,84,83,17,25,37,356,1951,384,408,16812,1407,17441,3420,3076,1267,746,145,87,421,70009,-515,272,46001,63746,2511,1093,42046,109,222,9579,183228,196197,118,1541,44084,46595,-824,1671,"OAKLAND","MI",26,2
48071,15843,8999,29260,8308,619459,509149,14978,6972,12248,10962,12657,41469,13528,58,93240,13528,535,16739,32720,40581,8287,410781,4715,3141,261,4213,1995,156,60578,61864,4795,171940,2826,4259,1773,819,763,61047,42203,875,97,1175,1107,894,161,108,35,566,93377,84297,88782,334676,80844,63509,862,120,230,30,35,4806,43839,2082,4,4,439,78375,2965,62,797,1443,1388,9,506,66545,848,94,5764,7561,2,5468,401,6147,354,438,35273,2162,1327,569,545,756,4945,21681,3150,729,13754,13094,1008,4534,386,105,3454,3987,4246,4667,1915,3634,751,3745,245,1172,9521,206,4762,918,753,129,10937,3199,216,215,12,12,17,238,1447,118,107,3869,372,4064,1595,3892,2160,498,98,64,1166,63215,-1634,61,12023,58406,1270,1003,10786,274,2044,6293,52482,62873,105,-20185,23133,24402,-774,-20091,"OAKLAND","MI",26,2
48072,8463,4334,15511,4234,459483,395582,8290,6627,10687,13374,7842,24053,7531,300,79462,13033,257,12256,27009,39029,7591,328806,3176,2027,200,863,387,239,51237,53533,4062,115661,2084,4008,1530,530,528,38014,28532,552,72,928,953,1044,187,94,22,424,56407,71045,74221,211721,53594,49828,528,58,189,32,40,3257,45773,1830,5,2,352,62359,3288,3,247,597,1142,5,288,61989,841,81,3146,6770,2,3093,272,3540,247,403,23239,2106,918,347,369,662,3613,19549,3084,697,11799,10359,888,3719,290,99,2732,3157,3116,3634,1594,5193,557,2430,221,1228,8206,158,2623,861,776,86,9954,2610,154,154,12,12,16,211,1070,140,94,3028,392,3188,1380,2882,1339,464,105,68,874,52662,-882,-29,18386,60604,1543,846,17013,186,459,5702,62482,69591,103,-10170,37365,38908,-665,-10089,"OAKLAND","MI",26,2
48073,19060,10393,32759,7804,1084496,845922,31100,27571,29452,51322,24405,75939,28961,1509,170832,28209,840,28598,60922,73756,18391,807990,5626,3085,296,1918,874,983,133119,138801,12226,258528,6792,16604,3315,1179,1247,128512,72250,1142,158,1984,3113,3142,634,221,51,932,125557,178586,191277,437410,122522,112311,1177,145,671,94,120,6072,127296,6071,20,4,794,124410,16173,9,524,1309,4526,11,666,172063,3101,228,7286,16874,6,6162,645,8024,590,1624,58724,5733,2598,794,879,2017,9932,61800,10487,2172,53946,27269,2466,8740,724,274,6747,7133,8821,8114,4892,13442,1593,5944,557,3875,25384,428,6853,2255,2289,246,28458,6530,211,208,31,34,48,565,2947,443,362,13961,1422,14586,4276,7339,3275,1284,266,169,2067,138198,-2091,417,52118,175934,4797,2400,44341,425,869,13848,210899,230913,249,-20882,117210,122007,-2161,-20654,"OAKLAND","MI",26,2
48075,11248,7036,21408,7371,598544,415006,17483,18679,13156,34588,16070,74725,22287,652,122665,17351,715,21868,42332,43661,23347,415917,3877,2114,354,3903,1812,1020,72033,75102,6673,157296,5705,13047,1914,640,621,121647,56727,615,84,1024,1206,1410,350,111,28,479,73283,93568,105061,222402,68119,52940,524,82,697,49,61,4369,60701,2291,10,2,434,68380,15295,21,400,1273,4154,7,431,91375,2607,120,5817,20002,3,5025,476,8208,314,1707,30736,2948,1239,466,500,936,5081,28248,6023,1347,48553,15050,1422,4773,395,144,3725,4088,5017,4781,3656,8786,1171,4473,285,2220,13866,243,4236,1107,1234,145,8209,2895,345,341,16,18,26,316,2239,236,428,26614,966,27586,2864,4244,2025,738,129,81,1010,77166,-1212,46,23850,83455,2411,1595,20528,227,685,13280,124776,140196,122,-15783,52719,55130,493,-15663,"OAKLAND","MI",26,2
