"zipcode","n1","pp_num","n2","numdep","e00100","e00200","e00300","e00600","e00900","e01000","e01400","e01700","e02500","e03300","FscheA_28","e18425","e18450","e18500","FscheA_9","FscheA_10","e19700","e04800","e07100","e07220","e07180","EIC","e59720","e09600","F1040_57","e10300","a11900gt0","p04470","e00400","e00650","e00700","e00800","e01100","e01500","e02400","e03210","e03220","e03230","e03260","e03270","e03240","e03290","e03400","e03500","e04600","e05100","e05200","e06000","e06200","e06300","e07230","e07240","e07300","e07400","e07600","e07150","e08800","e09400","e09700","e09800","e09900","e10700","e10900","e59560","e59700","e11070","e11100","e11300","e11600","e10605","e12000","e12200","e17500","e19800","e19850","e20550","e20600","e20400","e20500","e21040","e90050","e90190","e90210","e90240","e90250","e90280","e90370","e90100","e22370","e24515","e24516","e25350","e25360","e25370","e25380","e25470","e25500","e25820","e25850","e25860","e25940","e25980","e25920","e25960","e26110","e26170","e26190","e26160","e26180","e26100","e26390","e26400","e30400","e30500","e32800","e33000","e53220","e53240","e53280","e53410","e58950","e58990","e62900","e62720","e62730","e62740","p65300","p65400","e68000","e82200","s27860","p27895","e03150","e05800","e02100","e01200","e02000","e90040","e90080","e25800","e26270","e27200","p60100","p61850","e60000","e62100","t27800","e11900","BusinessGrossProfit","BusinessGrossIncome","CarryoverCharity","Total_Federal_Taxes","irs_county_name","state","statefip","suppressed"
48005,2803,1639,4996,1500,130933,97524,1386,572,1022,141,4235,12685,3881,0,19303,2282,359,2181,5079,5655,2033,87379,1173,664,58,943,723,63,12995,13315,545,33799,702,448,549,168,175,18439,12470,240,20,96,127,181,35,73,8,148,19006,15613,15999,63508,16574,12741,307,19,57,28,7,2278,9539,231,1,0,122,18530,222,0,87,338,379,7,84,13672,236,9,585,1630,1,936,81,970,69,335,5721,330,199,128,112,105,1031,1682,24,192,1066,2502,243,1069,98,27,710,794,1094,912,550,1332,223,1042,62,442,6887,61,940,330,285,52,971,605,65,63,3,3,5,70,474,41,25,404,117,421,533,961,479,129,26,17,190,13698,-298,813,2951,13082,123,294,2552,21,300,500,11041,12365,-4,-5198,7361,7484,62,-5189,"MACOMB","MI",26,2
48007,14,0,9,2,1027,166,9,3,9,10,6,9,3,1,42,7,0,9,19,11,8,226,3,0,0,178,173,447,10848,10381,604,264,6,3,2,1,1,12,8,1,0,1,2,4,1,1,0,1,82,65,61,94,75,95,5,0,1,1,0,40,1777,4,0,0,1,108,17,0,1,1,18,0,0,211,14,0,2,7,0,3,0,3,1,2,59,4,2,1,1,1,12,35,0,5,5,15,4,7,1,0,4,4,8,4,12,93,5,19,1,9,34,1,10,3,5,0,5,4,0,0,0,0,0,1,10,1,1,89,5,92,14,11,5,3,0,0,1,186,-2,11,86,193,7,3,81,0,2,58,383,434,0,-32,133,140,-3,-32,"OAKLAND","MI",26,2
48009,10872,6263,19104,5592,1018621,988852,74343,23989,-19890,100335,55023,36210,19993,3377,336639,66964,264,43404,124545,58453,37886,783509,9193,1139,288,1474,903,8323,198960,203061,6647,275738,14907,20806,6035,595,1038,72519,60380,722,95,518,4174,6082,1049,679,30,692,95362,223273,233243,144941,311752,49589,1027,60,1734,993,175,11425,238090,8299,84,1,988,158808,48942,1,136,1243,16859,32,619,305095,13684,170,5957,32700,21,5160,940,13714,628,10052,105397,8178,3764,991,1250,2706,15389,89676,759,7759,63164,45375,5666,12069,1339,637,10561,9110,16771,10711,16780,66829,5377,17372,1040,12279,29596,1194,15455,3345,7477,659,20899,7459,289,283,56,97,147,1414,6822,1466,1300,45721,6813,48243,16066,12431,6382,3098,494,289,1202,216814,-2802,1963,153062,181472,10749,2530,149395,197,3270,10526,614364,666558,-256,-12112,76075,86824,-9032,-11942,"OAKLAND","MI",26,2
48012,329,82,418,127,-13740,6682,300,153,309,248,302,12,0,31,1684,271,6,284,743,478,289,9651,142,6053,680,14766,12268,10876,393555,385799,22348,1866,21,9,4,1,3,50,36,2,0,9,1,10,0,0,0,3,46,2,2,0,0,0,0,0,0,0,0,0,105,1,0,0,1,10,11,1,1,13,2,1,6,38,5,0,0,0,0,0,0,0,0,0,2450,109,46,10,10,26,66,753,1,2,0,431,2,152,4,0,93,128,42,204,8,23,11,218,1,2,14,2,242,1,3,4,0,5,0,0,0,0,0,2,20,0,0,11,1,11,15,76,38,3,0,0,1,3,-387,13318,23089,4011,284,1410,25333,4,125,10411,43454,30133,1,-2923,1561,1844,289,-2923,"OAKLAND","MI",26,2
48015,3887,1931,6177,2292,161624,89549,1001,333,3440,87393,7203,24385,3171,0,13134,2298,345,1360,3843,5020,3728,115839,26084,850,121,1582,1373,0,16421,16974,4349,43331,689,258,666,208,176,35307,9236,314,22,87,344,237,27,76,13,150,25856,24215,22425,89293,23648,17571,405,30,55,21,6,4103,9138,656,1,0,164,21662,314,9,268,526,1320,6,119,13945,251,9,726,2836,0,1299,95,1287,90,571,6827,480,279,131,126,155,1092,4226,22,260,676,2888,220,1088,88,22,749,855,1080,972,730,2150,254,1149,58,316,26218,45,796,326,186,29,2416,639,154,152,3,2,3,54,566,23,16,245,113,258,429,874,453,101,22,14,213,17926,-287,72,1494,15710,202,239,1443,22,140,523,6824,7818,-1,-7839,8883,9085,486,-7831,"MACOMB","MI",26,2
48017,6304,3149,11399,3243,332564,269904,1553,1440,7327,11123,13389,18232,4058,0,46882,6666,165,6382,14538,12880,4162,219925,2700,1192,123,1307,1384,200,33040,32892,1990,87241,1505,888,1368,379,356,27607,20942,524,47,179,375,453,98,169,18,316,47711,36506,37046,156329,37494,34083,704,49,117,78,19,5000,28594,664,4,1,312,45644,516,1,227,841,928,10,203,36644,493,23,1652,3325,2,3540,212,5451,170,533,13205,823,481,247,241,264,2259,4073,56,554,1706,5836,574,2381,207,65,1616,1805,2379,2033,1227,3143,471,2203,143,1119,20388,130,1896,850,654,77,1863,1625,112,110,8,9,12,152,1126,111,47,1285,335,1353,1294,2036,1006,265,65,42,451,39234,-572,86,10065,36567,507,554,9385,51,425,3749,41514,50735,-9,-12635,23362,23868,51,-12612,"OAKLAND","MI",26,2
48021,15765,8104,27748,10083,521913,340536,2846,1858,9490,-5050,8445,53169,6296,0,46077,6270,314,7399,14626,14997,9966,316535,6161,2868,137,10882,9037,112,39921,42354,4491,167557,2869,1291,1449,820,731,77934,34493,1251,82,353,1258,864,46,268,54,550,110491,53073,53334,306695,71987,52906,1650,144,138,53,14,11289,27223,2361,2,2,505,65724,930,18,1021,2315,332,30,482,47143,618,30,4365,8295,2,5619,352,6042,340,129,26858,1976,1170,572,540,631,4332,18310,89,460,2509,9542,790,3748,337,81,2506,3269,4110,3688,1276,2731,591,2579,209,794,5973,179,2861,701,672,162,10071,2542,111,109,10,7,14,194,1045,78,40,2056,176,2169,1126,3140,1700,446,65,42,850,44470,-1099,2805,6169,48813,504,864,5066,74,887,4474,40097,52508,-18,-34676,21955,22460,114,-34646,"MACOMB","MI",26,2
48025,7454,4532,13512,4099,665660,539377,137984,35223,69462,40964,34000,48393,19929,2886,295946,55045,1088,27804,87531,34367,25304,510017,7855,1014,79,394,363,3778,121738,126698,5314,178799,11896,23236,3623,413,765,112935,88329,487,69,371,4801,4552,625,443,21,518,63524,138087,143509,73741,181192,38657,774,46,1303,603,110,8701,145913,10295,50,1,666,109055,45489,1,90,792,8703,22,423,193525,9202,108,3770,22086,12,2754,603,7694,407,5238,69421,5725,2642,657,791,1927,10292,79456,690,4378,49755,32004,3733,8554,839,400,7789,6354,11637,8251,10262,35394,3281,10940,649,7522,19777,716,10045,2178,4538,413,24769,5967,72,70,37,58,87,876,4277,888,892,31952,3816,33381,9975,8593,4143,2036,313,184,835,135626,-2110,-98,91660,123599,6822,1300,88467,134,2591,12316,381940,420048,-136,-8971,54179,61001,-3622,-8863,"OAKLAND","MI",26,2
48026,7232,3654,12027,3673,320701,241151,1981,1465,9754,148,12737,31379,7454,337,33109,5003,194,6309,11695,10660,4780,221907,3277,1336,63,2214,1847,403,34208,35067,5175,88341,1903,1017,912,416,432,46054,24393,612,49,193,794,1020,67,172,23,342,51822,40496,39031,196092,55767,37859,760,70,145,61,15,6693,24285,1547,3,1,321,51834,1248,0,312,825,448,14,223,39397,446,24,1931,4348,1,1931,165,1913,181,248,18870,1762,777,287,298,533,2715,19663,56,419,1450,5910,546,2388,217,61,1682,1948,2363,2254,978,1850,419,1947,136,847,7614,123,2034,634,580,93,8328,1899,65,64,8,8,11,144,793,85,56,2784,228,2891,1028,2098,1007,395,61,39,562,34860,-629,3349,9713,50353,1404,516,9208,51,422,4127,50537,59320,-6,-14324,31483,32887,-475,-14300,"MACOMB","MI",26,2
48030,6249,2933,10903,3744,193691,135499,515,646,8295,-2025,8242,11568,2639,0,11858,2307,222,2508,5054,4385,2924,117269,1687,816,35,4151,3605,0,16191,17652,3072,64182,928,392,477,307,243,17012,16937,509,26,132,466,341,7,89,23,187,43866,20020,19680,128479,27838,22347,592,57,34,10,3,3290,9714,859,0,1,147,23863,353,6,411,1194,86,12,180,15985,203,10,1281,2501,1,1828,102,1533,128,6,10071,763,460,214,204,256,1669,5666,28,108,872,3152,245,1397,123,24,849,1156,1283,1341,353,823,185,1022,65,165,1322,57,1160,197,174,56,3028,1148,29,29,3,2,4,58,357,16,6,339,23,357,312,1048,643,112,18,12,289,15337,-389,1984,389,21077,290,204,20,23,231,228,2261,3039,-8,-14310,11006,11296,-14,-14300,"OAKLAND","MI",26,2
