"zipcode","n1","n2","numdep","pp_num","e00100","e00200","e00300","e00600","e01000","e00900","e02100","e03150","e03300","FscheA_28","e19700","FscheA_9","e09600","e05800","e10300","EIC","e01400","e01700","e02500","e18425","e18450","e18500","FscheA_10","e04800","e07100","e07220","e07180","e59720","F1040_57","a11900gt0","p04470","e00400","e00650","e00700","e00800","e01100","e01500","e02400","e03210","e03220","e03230","e03260","e03270","e03240","e03290","e03400","e03500","e04600","e05100","e05200","e06000","e06200","e06300","e07230","e07240","e07300","e07400","e07600","e07150","e08800","e09400","e09700","e09800","e09900","e10700","e10900","e59560","e59700","e11070","e11100","e11300","e11600","e10605","e12000","e12200","e17500","e19800","e19850","e20550","e20600","e20400","e20500","e21040","e90050","e90190","e90210","e90240","e90250","e90280","e90370","e90100","e22370","e24515","e24516","e25350","e25360","e25370","e25380","e25470","e25500","e25820","e25850","e25860","e25940","e25980","e25920","e25960","e26110","e26170","e26190","e26160","e26180","e26100","e26390","e26400","e30400","e30500","e32800","e33000","e53220","e53240","e53280","e53410","e58950","e58990","e62900","e62720","e62730","e62740","p65300","p65400","e68000","e82200","s27860","p27895","e01200","e02000","e90040","e90080","e25800","e26270","e27200","p60100","p61850","e60000","e62100","t27800","e11900","BusinessGrossProfit","BusinessGrossIncome","CarryoverCharity","Total_Federal_Taxes","irs_county_name","state","statefip","suppressed"
48005,2497,5703,1848,1591,147965,112837,2223,1286,2390,2658,50,190,4,23333,3476,12091,29,17315,16679,222,2187,8991,2621,3490,191,3679,10024,87874,1143,464,14,92,6450,576,17104,655,1093,374,130,189,11,2646,92,23,222,57,69,36,4,4,149,15725,687,362,755,1253,5515,85,14,41,9,13,119,3842,102,2,2,37,16043,171,0,67,61,216,2,94,16345,87,7,719,2963,1,500,88,763,90,103,3013,165,104,120,80,53,603,530,186,291,887,1791,346,689,109,38,580,694,1025,512,657,405,235,573,75,527,2002,62,958,375,221,19,506,372,2,2,5,5,6,82,261,54,34,862,161,904,548,921,385,166,43,28,57,4682,16656,254,278,3670,68,136,985,17603,18739,41,-2042,13643,13897,-79,-2035,"MACOMB","MI",26,2
48009,9837,18876,4979,6559,1602053,888989,46473,75176,322786,53061,-297,1100,7004,231096,44090,201430,5665,328311,329127,317,18741,39049,15639,55379,1076,45388,81064,1275496,6408,559,99,129,164399,15373,143211,18198,66906,5184,434,1151,54,11898,232,87,942,2502,3041,1703,38,26,581,51479,3302,1913,3636,122703,28849,265,59,4231,254,411,1424,210158,4913,120,7,276,77986,89946,0,93,205,39236,8,423,280743,14223,216,4450,34937,29,2949,1153,17676,864,16672,78879,5480,2618,1008,1161,1743,13913,19850,5489,12943,86076,61004,8974,14555,1742,915,13262,10320,18412,6980,29775,69246,10605,10321,1356,20079,9330,1699,20989,5339,6361,477,5303,3409,8,8,79,135,206,2072,8028,2176,5469,257984,11266,268827,27784,19201,9388,4204,706,413,1634,173018,234880,7724,5156,129781,456,2587,71228,892252,957124,560,12841,156001,163725,-1396,13056,"OAKLAND","MI",26,2
48012,192,310,94,89,18147,8353,257,284,798,370,-2,13,35,1844,310,1288,23,1942,1933,19,165,541,169,446,16,411,922,9439,71,3770,478,2240,181627,15968,1581,173,263,74,9,17,1,144,6,2,11,11,16,10,0,0,11,1113,91,42,171,518,1689,1,1,21,2,2,58,12370,22,1,0,2,11020,458,0,21,2,219,0,9,3628,92,1,54,225,0,36,12,129,9,79,297,20,11,10,7,7,85,31,33,76,231,352,61,85,13,6,77,61,138,40,203,389,71,77,10,119,219,11,134,46,39,3,9,23,0,0,1,1,1,14,69,13,28,842,63,881,174,135,65,26,5,3,11,962,2386,53,47,1015,6,16,569,4975,5429,5,-530,2089,2143,-17,-529,"OAKLAND","MI",26,2
48015,4043,7537,2223,2397,156741,121871,3190,929,1876,1568,0,176,1,20678,2343,11260,114,16686,15775,957,2228,9589,2246,3848,133,3443,7585,112647,1998,515,36,479,9283,355,32426,627,711,332,187,203,6,4149,127,26,309,93,119,31,4,6,149,19893,406,255,559,1228,2818,123,30,59,8,9,325,3887,162,1,3,62,18015,304,0,130,157,460,3,108,12920,146,9,1287,1907,1,1251,104,2266,101,248,5584,314,204,166,133,99,968,1202,166,303,1250,2829,305,962,112,31,736,885,1152,656,670,613,287,819,68,432,1529,67,1062,278,187,25,748,531,4,4,4,4,5,73,372,38,61,1390,189,1455,557,966,532,140,28,18,1,3628,14817,63,253,2959,79,238,2363,17632,20352,30,-4744,9233,9296,1,-4736,"MACOMB","MI",26,2
48017,6259,11210,2602,3463,278652,235283,3473,2192,2160,6564,-48,346,63,41337,4647,18110,20,29803,29087,480,4751,17280,5027,7394,351,7498,18897,202066,2176,740,60,218,14446,967,46102,1142,1672,716,325,396,17,7160,257,48,500,212,327,39,8,9,296,36943,1124,626,1498,2139,9408,262,50,59,15,16,402,5646,378,2,5,100,27661,1060,0,153,193,336,4,219,33304,272,13,1891,3901,1,931,171,1420,180,100,8051,607,342,266,212,194,1640,1516,366,348,1681,3926,531,1718,195,58,1332,1520,1817,1196,909,1262,354,1162,137,614,2835,104,1636,528,300,33,1731,1034,5,5,7,7,9,129,487,63,42,1054,158,1106,754,1562,820,234,61,41,17,6427,40796,598,376,4066,142,291,1392,18684,19791,65,-6803,32746,33344,-109,-6790,"OAKLAND","MI",26,2
48021,15859,30809,9490,9551,602612,506179,8513,4699,3587,9169,0,623,21,92089,12930,33710,83,56296,52532,3206,7934,38762,9010,14314,697,14478,37780,369009,5989,2282,229,1891,23620,1549,120151,2565,3412,1313,779,883,29,17176,604,108,1091,426,458,55,17,22,625,89247,1674,1016,2050,2336,12087,579,122,92,29,26,1518,9719,746,2,13,242,77366,1106,0,529,695,494,10,549,57002,465,30,5337,10398,2,2919,440,4693,398,105,21019,1142,797,631,500,394,3838,4130,725,600,4210,8385,1027,3617,413,108,2732,3358,3732,2641,1587,2348,688,2942,270,972,5566,217,3850,919,572,78,3473,2403,15,14,13,11,18,243,1060,101,57,2403,235,2532,1370,3476,1926,471,101,67,-21,10279,61884,393,722,8075,314,2002,2964,29574,37914,113,-19315,40865,41258,475,-19285,"MACOMB","MI",26,2
48025,7247,15532,4580,4741,1220193,553226,44581,51532,229499,45271,-252,789,5512,184654,47130,156964,3429,257766,260580,211,18420,34273,16772,33132,772,26916,50148,786752,3001,499,87,103,98230,11804,102622,14132,45399,3518,318,870,53,12204,161,68,750,1976,2164,1228,29,19,475,39547,2987,1640,2974,75444,25655,147,31,2506,183,295,862,147529,3923,85,5,189,51218,76101,0,149,144,29060,6,321,212502,11238,154,3221,37816,21,1999,833,13342,637,11401,47321,3514,1666,742,802,1171,9883,18951,3970,9227,51432,47799,6763,11195,1281,672,10121,8282,14769,5758,23613,52821,8064,8476,1003,14889,8763,1228,17564,4094,4673,342,3674,2473,7,6,59,97,146,1515,5930,1541,3338,145283,7934,151724,20563,14426,6861,2987,521,306,1312,117782,184542,5785,4497,96152,343,356,55463,627162,673360,415,9934,137221,143005,679,10088,"OAKLAND","MI",26,2
48026,7321,14466,4152,4377,337981,263106,6287,4250,9273,6232,-106,499,161,48283,6364,24167,144,37553,36244,1176,5225,24906,6364,8005,494,8548,19275,217296,2529,946,58,539,15922,1062,53182,1723,3453,818,356,468,23,8851,252,54,586,262,461,72,10,11,347,42678,1367,750,1639,3651,11177,231,56,110,21,27,550,9691,465,4,6,112,27363,1914,0,184,223,717,5,256,43604,437,18,2084,5407,2,1261,209,2299,225,214,10281,849,443,332,260,266,2067,1736,575,655,3301,5339,788,2050,264,85,1657,1975,2519,1495,1487,2087,560,1532,188,1059,3959,149,2245,706,481,51,1947,1094,7,7,10,10,13,191,660,117,102,4156,382,4380,1322,2245,1058,381,88,57,101,8747,52565,903,602,5759,169,395,2788,40099,43403,86,-8234,42284,43187,-277,-8216,"MACOMB","MI",26,2
48030,7905,15436,5031,4813,243230,211526,1731,758,965,5175,-49,190,2,29185,3096,9922,24,20207,18816,2528,2560,12435,2622,4392,197,4483,12878,141939,2446,943,66,1257,8396,549,58729,857,625,404,349,324,6,4326,268,42,490,251,225,10,6,11,245,39768,523,349,559,246,2827,273,62,23,9,6,629,3348,453,0,7,106,33235,341,0,324,393,134,5,209,18516,179,12,2066,2480,1,1014,144,1283,171,1,10720,636,421,304,250,202,1827,2850,211,168,838,3429,356,1651,173,36,1064,1432,1392,1086,532,982,284,1489,100,260,2011,87,1682,304,185,41,2319,1119,9,8,5,3,6,91,456,25,12,657,38,696,469,1440,838,182,28,19,-73,694,27641,84,205,720,135,445,877,5050,6337,35,-8699,16921,17005,61,-8687,"OAKLAND","MI",26,2
48034,14240,25503,7801,8864,735587,513195,16161,17765,64274,16819,-264,580,970,127980,32772,61139,791,90436,89044,3550,7550,25128,9271,9095,533,9598,16452,253849,2217,621,132,966,22586,2183,130359,5909,14578,1289,700,926,21,9842,501,101,1273,864,980,289,20,23,625,73728,1220,712,1323,12125,9897,577,116,535,60,81,1163,33583,1631,18,12,224,39466,18648,0,348,710,6457,9,413,85486,3076,57,6014,27829,6,2550,477,6988,469,2355,27881,2086,1183,680,601,671,5391,12600,1704,2397,13329,17018,2405,5443,606,231,4417,4978,6884,3661,6971,12535,2449,4662,438,3985,6914,419,6437,1606,1461,126,4885,2527,12,11,24,28,42,517,2358,398,692,32187,1817,33697,5735,6356,3089,1074,198,123,382,24389,144238,2094,2092,15944,333,7726,19263,151645,168420,183,-11359,116358,118452,1414,-11302,"OAKLAND","MI",26,2
