"zipcode","n1","pp_num","n2","numdep","e00100","e00200","e00300","e00600","e00900","e01000","e01400","e01700","e02500","e03300","FscheA_28","e18425","e18450","e18500","FscheA_9","FscheA_10","e19700","e04800","e07100","e07220","e07180","EIC","e59720","e09600","F1040_57","e10300","a11900gt0","p04470","e00400","e00650","e00700","e00800","e01100","e01500","e02400","e03210","e03220","e03230","e03260","e03270","e03240","e03290","e03400","e03500","e04600","e05100","e05200","e06000","e06200","e06300","e07230","e07240","e07300","e07400","e07600","e07150","e08800","e09400","e09700","e09800","e09900","e10700","e10900","e59560","e59700","e11070","e11100","e11300","e11600","e10605","e12000","e12200","e17500","e19800","e19850","e20550","e20600","e20400","e20500","e21040","e90050","e90190","e90210","e90240","e90250","e90280","e90370","e90100","e22370","e24515","e24516","e25350","e25360","e25370","e25380","e25470","e25500","e25820","e25850","e25860","e25940","e25980","e25920","e25960","e26110","e26170","e26190","e26160","e26180","e26100","e26390","e26400","e30400","e30500","e32800","e33000","e53220","e53240","e53280","e53410","e58950","e58990","e62900","e62720","e62730","e62740","p65300","p65400","e68000","e82200","s27860","p27895","e03150","e05800","e02100","e01200","e02000","e90040","e90080","e25800","e26270","e27200","p60100","p61850","e60000","e62100","t27800","e11900","BusinessGrossProfit","BusinessGrossIncome","CarryoverCharity","Total_Federal_Taxes","irs_county_name","state","statefip","suppressed"
48005,2767,1661,5156,1541,135257,99206,1643,798,1368,169,4137,13319,4001,0,19309,2624,316,2484,5731,6181,2113,90526,1300,671,45,771,592,68,13536,13919,718,32540,663,536,583,160,176,17508,11714,206,19,101,129,172,37,61,8,141,18129,16452,20028,64532,16651,13467,280,18,59,24,7,1928,9493,236,2,0,115,18399,224,0,80,283,383,5,84,13317,226,9,616,1713,1,914,76,952,71,347,5798,333,198,124,110,105,1019,1765,31,199,1359,2608,251,1085,98,27,734,805,1055,866,576,1347,225,1046,63,468,8419,61,946,359,270,48,1113,627,49,47,3,4,5,71,497,43,29,461,121,480,552,969,469,133,28,18,189,13534,-282,12,3316,13104,64,307,2862,21,291,556,11781,12584,-11,-4439,7306,7371,53,-4430,"MACOMB","MI",26,2
48007,13,1,10,2,1121,241,6,6,12,16,10,15,6,1,56,11,0,9,23,13,8,275,2,0,0,205,199,585,12967,12537,868,252,10,5,2,1,1,21,19,1,0,1,1,2,1,0,0,1,78,82,94,123,82,118,3,0,1,0,0,27,1985,3,0,0,1,155,32,0,1,1,14,0,0,224,14,0,2,7,0,3,0,5,1,3,50,3,2,1,1,1,11,26,0,5,10,24,5,7,1,0,5,4,14,4,15,51,5,17,1,9,29,1,10,2,5,0,4,4,0,0,0,0,0,1,11,1,1,167,6,172,14,10,5,3,0,0,1,193,-2,1,92,135,5,5,84,0,2,65,380,426,0,-22,85,90,-2,-22,"OAKLAND","MI",26,2
48009,10812,6592,19839,5743,1190426,1039953,61070,34343,-3468,127116,58262,41577,22327,5093,321165,71097,360,46418,124993,63123,41530,908267,10362,1105,286,1251,784,10163,233498,238521,9707,286323,17850,28045,6172,565,1037,81298,60553,628,91,491,4836,5910,1146,591,30,643,83542,268073,312937,143368,325533,52380,901,56,2757,867,192,11946,238373,9734,89,1,889,154618,65166,0,131,978,23405,21,588,316074,16982,187,5632,35505,22,4978,986,15862,658,12398,100243,8217,3708,963,1227,2717,15608,98842,1132,8778,101762,48205,6303,12300,1387,677,10976,9146,17304,9634,20728,81556,6591,19207,1093,13532,34225,1279,15647,3537,7297,637,24066,8067,275,269,59,102,155,1533,9645,1588,2092,81245,7785,85287,18836,14016,6948,3433,523,306,1190,249021,-2714,782,155263,205643,10503,1799,144264,196,2983,29049,697213,720067,-498,-8149,105400,115902,-7493,-7962,"OAKLAND","MI",26,2
48012,291,105,431,137,-16221,9085,227,219,399,410,414,16,0,37,2086,378,9,356,856,589,329,10607,152,6298,788,14322,11726,13639,444243,436218,31222,1544,18,11,4,1,2,56,41,1,0,7,1,7,0,0,0,2,34,3,3,0,0,0,0,0,0,0,0,0,132,1,0,0,0,13,12,1,0,11,1,0,8,64,4,0,0,0,0,0,0,0,0,0,1697,87,34,8,8,20,58,521,1,2,0,518,2,160,3,0,107,130,36,196,7,18,9,192,1,2,11,2,236,1,2,4,0,4,0,0,0,0,0,2,17,0,0,9,0,9,13,62,36,2,0,0,1,3,-343,368,22621,4211,210,1365,24032,3,111,12350,46545,23052,0,-2282,2514,2724,329,-2282,"OAKLAND","MI",26,2
48015,3859,2111,6523,2373,169255,97527,1303,487,3677,74858,6816,21524,3173,0,14733,2741,292,1639,4613,5367,3254,118365,20116,758,105,1646,1402,0,17276,17819,3675,42081,666,341,721,202,183,28258,9052,274,22,96,313,230,34,61,12,143,24513,25566,26933,94961,25842,18240,361,29,51,19,6,2844,8962,598,1,1,141,21278,309,6,246,497,1370,5,122,13716,249,9,810,2507,0,1319,94,1327,91,524,6936,487,278,134,128,156,1105,4221,29,288,850,3188,228,1168,92,23,813,901,1077,960,775,2328,271,1293,60,367,37122,49,876,395,185,32,2661,650,119,118,3,2,4,58,615,25,16,253,130,267,478,916,475,102,22,15,214,17967,-303,-22,1365,14491,194,241,1282,21,167,673,8517,9344,-8,-7172,7555,7749,349,-7163,"MACOMB","MI",26,2
48017,6384,3224,11335,3214,332775,260761,1942,1943,7462,8189,13052,19976,4563,0,46158,7073,191,6747,15084,13262,4408,223220,2848,1214,131,1234,1225,173,33670,33827,2166,82071,1456,1093,1337,372,371,27215,21137,470,46,198,379,429,89,138,17,305,45117,38185,46584,165590,39308,35359,641,46,114,60,18,4288,26096,680,4,1,283,43594,528,1,221,747,811,8,209,33600,447,23,1768,3516,1,3302,207,4779,171,428,13474,838,488,253,245,269,2274,4469,73,516,2281,5814,566,2360,206,63,1617,1829,2253,1943,1165,2882,452,2137,142,1041,19403,126,1918,818,579,77,2370,1644,117,116,8,8,11,149,1078,103,49,1346,304,1414,1200,2007,987,266,65,42,450,36248,-564,27,9609,34502,430,554,8664,48,461,3405,38333,45406,-28,-11365,21029,21459,94,-11343,"OAKLAND","MI",26,2
48021,15740,8535,28999,10467,554801,377474,3656,2639,10934,-3921,10355,56217,7457,0,54659,7803,413,8769,17666,17569,10824,333555,6745,3038,187,10241,8582,118,42895,45309,4540,161506,2851,1659,1626,799,756,74728,36592,1097,82,391,1178,846,49,222,47,539,104840,57699,65877,327124,78101,57110,1421,134,138,48,16,10223,27366,2213,2,2,471,67384,995,13,920,2237,359,23,502,47781,622,32,4634,8965,2,5827,371,6416,342,140,27723,2010,1172,582,550,638,4416,18100,117,488,3343,10066,822,3898,349,84,2636,3408,4047,3618,1354,2840,625,2800,216,845,6647,187,3085,742,656,169,10762,2639,158,155,11,8,14,204,1119,83,46,2274,193,2396,1199,3274,1756,465,70,46,858,45034,-1174,-131,6514,50258,270,898,5195,72,1002,4652,42997,43658,-34,-31394,22535,22805,256,-31362,"MACOMB","MI",26,2
48025,7516,4761,14338,4323,772407,575366,108666,43495,64927,52335,39880,52671,22797,3899,259550,52122,1048,29423,83903,37913,26897,585983,7684,988,95,394,345,4753,141916,147012,7746,184292,14291,31276,3706,401,768,114726,81364,429,67,364,4769,4326,695,391,21,489,57658,164662,195902,76539,192650,41600,678,42,1971,537,122,8645,149629,10177,54,1,612,109069,55022,0,83,651,11939,15,406,203382,10985,119,3728,23598,13,2786,651,9134,434,6456,66534,5667,2586,650,793,1921,10561,78427,1030,5019,79146,33299,4196,8544,886,434,7891,6287,11971,7248,12537,42835,3984,11994,694,8404,22379,782,10240,2322,4554,410,25446,6191,86,83,40,63,95,963,5872,984,1387,53741,4428,55892,11699,9502,4493,2260,338,199,821,154405,-2047,365,96620,132479,6748,2016,89095,135,2409,14572,438313,441992,-297,-6375,65945,72693,-3670,-6256,"OAKLAND","MI",26,2
48026,7276,3891,12554,3859,332819,246229,2525,2141,9995,151,12445,33699,8061,300,36655,5803,240,6843,13148,11746,5226,228369,3432,1390,79,2228,1872,328,35301,36269,4746,85185,1845,1319,980,403,454,45310,25161,541,48,213,760,994,72,142,21,331,49394,42715,49619,206776,58750,40170,677,65,147,53,16,5783,23868,1484,3,1,295,50845,1305,1,290,810,503,11,233,38892,449,25,2088,4662,1,1973,172,2057,184,267,19431,1771,779,295,307,535,2763,20126,74,443,2009,6211,570,2483,225,64,1756,2011,2318,2180,1051,1919,450,2127,141,913,8998,129,2166,679,563,97,8651,1889,82,82,8,8,11,152,879,90,64,2731,247,2836,1108,2191,1033,410,64,41,564,34604,-631,-22,10162,48541,1291,533,9377,50,484,3898,52019,44738,-26,-13235,29110,30401,-368,-13211,"MACOMB","MI",26,2
48030,6488,3284,11768,4071,206123,149168,660,704,7512,-1725,7910,13064,2743,0,14246,2515,230,2758,5524,5077,2845,123569,1976,922,46,4335,3774,0,16598,17914,2719,63051,917,412,533,310,258,17448,15594,459,27,148,466,341,7,76,20,189,42889,21415,22941,139817,30337,23567,558,57,32,10,3,3029,9318,862,0,1,146,24428,371,6,398,1130,92,9,190,16014,206,10,1434,2416,1,1946,107,1685,133,5,10765,811,482,226,215,269,1746,6348,34,116,865,3330,260,1481,129,25,907,1232,1272,1348,376,879,198,1107,70,177,1407,61,1262,211,172,61,3647,1168,39,38,3,2,4,62,380,17,6,357,25,377,334,1105,669,120,19,13,299,15257,-394,-63,381,22301,235,214,-15,23,292,277,2372,2881,-11,-13344,11536,11771,-20,-13333,"OAKLAND","MI",26,2
