"zipcode","n1","pp_num","n2","numdep","e00100","e00200","e00300","e00600","e00900","e01000","e01400","e01700","e02500","e03300","FscheA_28","e18425","e18450","e18500","FscheA_9","FscheA_10","e19700","e04800","e07100","e07220","e07180","EIC","e59720","e09600","F1040_57","e10300","a11900gt0","p04470","e00400","e00650","e00700","e00800","e01100","e01500","e02400","e03210","e03220","e03230","e03260","e03270","e03240","e03290","e03400","e03500","e04600","e05100","e05200","e06000","e06200","e06300","e07230","e07240","e07300","e07400","e07600","e07150","e08800","e09400","e09700","e09800","e09900","e10700","e10900","e59560","e59700","e11070","e11100","e11300","e11600","e10605","e12000","e12200","e17500","e19800","e19850","e20550","e20600","e20400","e20500","e21040","e90050","e90190","e90210","e90240","e90250","e90280","e90370","e90100","e22370","e24515","e24516","e25350","e25360","e25370","e25380","e25470","e25500","e25820","e25850","e25860","e25940","e25980","e25920","e25960","e26110","e26170","e26190","e26160","e26180","e26100","e26390","e26400","e30400","e30500","e32800","e33000","e53220","e53240","e53280","e53410","e58950","e58990","e62900","e62720","e62730","e62740","p65300","p65400","e68000","e82200","s27860","p27895","e03150","e05800","e02100","e01200","e02000","e90040","e90080","e25800","e26270","e27200","p60100","p61850","e60000","e62100","t27800","e11900","BusinessGrossProfit","BusinessGrossIncome","CarryoverCharity","Total_Federal_Taxes","irs_county_name","state","statefip","suppressed"
48005,2588,1734,5668,1740,135555,107375,3130,1008,1956,143,2793,13190,4234,0,23467,3483,130,3733,7932,9434,2196,79451,1344,753,26,509,185,62,12857,13638,864,33462,659,736,669,156,171,16514,10695,170,21,136,136,163,75,47,7,131,17702,19794,20198,60101,14442,13637,244,17,48,17,10,1616,9088,251,2,0,107,18821,273,0,71,231,232,2,83,12883,210,11,713,1934,1,978,70,968,75,216,6038,350,198,116,107,108,1000,1984,14,201,1649,2787,266,1112,97,30,776,838,974,909,559,1272,206,930,67,501,11429,58,911,422,260,52,1337,681,20,20,4,4,5,71,451,46,27,496,118,517,534,967,442,133,32,21,196,12422,-256,-13,4770,13168,184,272,3551,58,271,328,11954,12965,31,-3943,7130,7314,-126,-3932,"MACOMB","MI",26,2
48009,10283,7144,20863,6088,1471882,1100356,67110,47793,39229,109238,33857,48258,25562,9409,324552,74615,479,59433,139756,86268,46292,1065519,11233,1109,253,873,275,11414,283914,296851,15748,284643,21774,37122,6516,558,1018,96152,58162,520,94,529,5506,5270,2107,464,35,582,71925,357059,409432,133589,325550,52489,759,55,4509,608,250,11887,221419,11198,98,1,715,139412,89675,0,127,711,24264,9,513,304487,20672,228,5729,39866,24,4638,1048,17751,715,17432,89619,8128,3593,910,1192,2746,16329,112471,661,10071,186481,51977,7278,12406,1460,751,11379,8913,17188,8260,26427,97565,8353,21680,1184,15597,48167,1405,15157,4029,6695,702,29442,8902,216,210,65,112,170,1699,15367,1778,3614,174013,9022,181027,22824,16146,7583,3759,576,337,1204,265981,-2472,1314,167249,238226,8630,3658,137303,386,2303,70515,803584,877433,458,-10370,148607,157238,-6998,-10141,"OAKLAND","MI",26,2
48012,259,123,424,144,-60245,11323,368,282,476,311,275,23,0,52,2889,565,11,537,1169,1005,367,9440,119,7378,1121,11823,4659,12700,419977,436148,31318,1247,14,16,4,1,1,55,51,1,0,8,5,8,0,0,0,2,33,4,4,2,2,0,0,0,0,0,0,0,91,9,0,0,0,8,14,1,4,10,1,0,6,58,4,0,0,0,0,0,0,0,0,0,945,55,19,5,5,13,40,998,1,1,0,598,1,174,3,0,117,145,27,227,5,12,7,178,0,1,9,1,264,0,1,4,24,3,0,0,0,0,0,1,13,0,0,6,0,6,10,54,32,2,0,0,0,2,-327,149,26909,10088,196,1035,27256,7,107,28208,50988,67764,1,-2234,9144,9340,367,-2234,"OAKLAND","MI",26,2
48015,3787,2369,7431,2584,168031,113333,3534,629,3024,13406,3099,16232,3525,0,19520,3765,136,2822,7072,7378,2333,102905,7693,772,75,1745,705,0,17162,18039,1355,42921,702,530,813,202,191,20370,10454,228,23,147,274,233,81,48,8,135,23833,27542,26969,94159,24877,17253,295,30,37,14,9,1967,7963,519,1,1,116,19755,369,5,210,487,869,3,127,13239,255,11,1041,1971,1,1345,92,1368,93,437,7672,537,294,147,140,166,1173,4419,13,292,1031,3809,242,1352,102,25,949,1025,1080,1089,758,2256,276,1463,64,445,63231,57,1054,535,193,56,2815,690,63,62,3,3,4,66,636,30,15,273,137,290,534,1013,527,102,24,16,226,16313,-350,-36,1317,13664,194,212,356,69,289,841,10296,11603,25,-6983,5992,6186,-16,-6972,"MACOMB","MI",26,2
48017,6363,3512,11995,3369,308714,258462,4236,2106,7111,1821,6752,21645,6406,0,51281,7808,207,8596,17613,18371,4504,188156,2704,1324,136,1071,450,95,30470,31898,1923,79710,1515,1525,1369,383,386,27832,23861,417,51,299,409,410,124,104,15,290,43702,44996,45543,167648,37702,34354,562,48,78,31,19,3520,20487,749,3,1,246,40518,694,1,216,686,316,4,221,29001,395,24,2190,3872,1,3156,205,4190,177,172,14197,899,513,261,253,285,2338,5585,33,401,3018,5877,539,2334,203,61,1637,1932,2028,2104,904,2193,360,1699,142,819,13942,114,1878,737,483,98,3597,1684,100,100,8,8,10,137,727,83,35,1207,205,1268,872,1909,950,246,64,42,468,28634,-597,-36,10155,31924,396,510,7603,136,540,3542,24719,28915,65,-10710,17727,18122,-222,-10685,"OAKLAND","MI",26,2
48021,15193,9366,31697,11405,566316,452918,9105,3051,10815,218,9016,56095,11031,0,81198,11703,464,13603,27072,30337,11505,303441,6763,3572,326,8731,3557,120,43043,46197,3404,165392,3118,2447,1898,809,764,71365,47133,926,95,583,1051,862,126,182,34,526,100596,69042,69490,339233,79506,59887,1076,127,121,35,21,9296,25488,1968,2,3,443,70285,1423,15,751,2409,330,10,541,49431,746,38,5569,10079,2,6479,412,7434,353,163,29728,2145,1190,592,562,665,4605,17729,61,527,4472,11560,883,4331,368,92,3013,3817,4017,4169,1455,3014,657,3205,231,920,8014,195,3604,826,664,232,10621,2807,279,276,11,9,15,216,1219,90,52,2527,216,2655,1290,3562,1902,479,80,53,911,44477,-1357,-206,8091,52903,643,881,3489,273,1323,6499,39435,48404,90,-30157,23175,23819,-292,-30118,"MACOMB","MI",26,2
48025,7370,5147,15792,4807,937078,621066,71870,47105,49673,45415,28514,54083,27228,6663,220302,47430,640,36291,87832,53334,29843,667812,6219,998,140,411,161,5827,170615,179786,12492,184210,16152,35243,4081,412,767,106280,65442,366,73,415,4211,3708,1323,318,25,457,51964,222324,248992,79748,203449,42593,556,38,2784,392,165,8370,146106,8722,63,1,515,99601,64983,0,80,517,12666,6,366,201933,12807,150,4054,26604,16,2893,718,10680,489,9065,60900,5395,2451,633,806,1867,11323,74948,557,5925,126811,34156,4887,8237,967,501,7707,5970,11648,5950,15586,55258,4929,13130,791,9878,29275,892,10015,2653,4402,475,23319,6533,120,116,44,73,109,1098,8692,1151,2156,99775,5281,103256,14026,10571,4825,2461,389,229,814,163925,-1841,747,112124,151528,5537,2786,90809,271,1893,38671,510029,556434,310,-7704,90628,96165,-4815,-7554,"OAKLAND","MI",26,2
48026,7181,4461,14254,4457,332604,265187,6131,2640,8416,91,7311,34070,9469,149,49177,7803,272,9338,18124,17992,5659,197332,3186,1579,106,2173,875,159,32640,34443,2864,86352,1879,1931,1179,404,465,44365,29779,459,53,321,679,903,149,111,17,316,48142,50106,50134,201189,53587,39886,562,63,122,36,21,4715,21658,1312,4,1,261,49396,1629,1,264,828,419,5,256,37871,514,29,2524,5261,1,2220,196,2495,193,297,20200,1726,766,309,320,520,2860,18989,36,465,2942,7029,614,2713,238,69,1939,2204,2284,2417,1137,2009,481,2363,149,1008,12099,136,2398,765,560,137,8175,1838,92,92,9,9,12,162,978,98,68,2048,263,2125,1186,2354,1093,395,71,46,580,31936,-684,-116,11983,44853,1126,578,8965,147,667,4700,44204,50572,70,-13395,24653,25780,-612,-13367,"MACOMB","MI",26,2
48030,7028,4162,14358,5036,220360,185037,1698,646,5701,-242,3787,15732,3386,0,23677,3415,166,4124,8014,9521,2624,113518,2313,1259,82,4580,1912,0,15536,16922,1385,70392,1060,545,671,339,286,20042,16055,414,34,252,495,387,30,70,15,203,44083,24749,24292,149004,31961,24088,473,61,29,8,5,3050,8043,919,0,1,157,25954,561,10,392,1199,96,5,218,17023,277,13,2007,2424,1,2385,123,2098,148,7,13192,997,560,269,254,314,2015,8177,19,135,895,4127,301,1808,152,30,1124,1531,1374,1711,440,1041,243,1455,82,212,1680,74,1631,247,191,111,4710,1248,69,68,4,3,4,76,455,21,7,415,30,441,402,1347,795,140,23,15,339,15130,-558,-146,182,24828,294,242,-1873,114,585,385,2078,3140,28,-13553,11636,11931,-291,-13539,"OAKLAND","MI",26,2
48033,8127,5351,16223,5955,492075,420886,5835,11131,7395,2949,7958,49242,11909,0,63436,11395,1289,10964,24200,18108,12788,336581,8064,1208,209,3284,1266,605,66855,68930,4161,107265,3921,8768,1744,434,530,62315,37080,443,61,325,519,562,656,172,21,326,54156,101750,103937,162558,82283,36944,540,58,571,148,69,4322,65800,958,25,1,324,122260,1514,5,296,1359,1533,6,317,69769,1214,63,4124,11353,7,3884,369,5431,310,1364,24655,1302,755,412,444,433,3995,9153,140,1931,21415,14192,2021,4028,476,226,3185,2802,6162,2702,4203,2831,1452,4682,256,4708,40917,393,4227,2153,2025,243,5006,1893,220,218,20,31,46,408,2522,466,391,8666,1604,8795,4619,3806,2064,889,171,102,706,70192,-850,93,61494,67738,1641,2030,55285,195,654,11246,184029,196285,146,-12784,43083,44724,-791,-12721,"OAKLAND","MI",26,2
