"zipcode","n1","n2","numdep","pp_num","e00100","e00200","e00300","e00600","e01000","e00900","e02100","e03150","e03300","FscheA_28","e19700","FscheA_9","e09600","e05800","e10300","EIC","e01400","e01700","e02500","e18425","e18450","e18500","FscheA_10","e04800","e07100","e07220","e07180","e59720","F1040_57","a11900gt0","p04470","e00400","e00650","e00700","e00800","e01100","e01500","e02400","e03210","e03220","e03230","e03260","e03270","e03240","e03290","e03400","e03500","e04600","e05100","e05200","e06000","e06200","e06300","e07230","e07240","e07300","e07400","e07600","e07150","e08800","e09400","e09700","e09800","e09900","e10700","e10900","e59560","e59700","e11070","e11100","e11300","e11600","e10605","e12000","e12200","e17500","e19800","e19850","e20550","e20600","e20400","e20500","e21040","e90050","e90190","e90210","e90240","e90250","e90280","e90370","e90100","e22370","e24515","e24516","e25350","e25360","e25370","e25380","e25470","e25500","e25820","e25850","e25860","e25940","e25980","e25920","e25960","e26110","e26170","e26190","e26160","e26180","e26100","e26390","e26400","e30400","e30500","e32800","e33000","e53220","e53240","e53280","e53410","e58950","e58990","e62900","e62720","e62730","e62740","p65300","p65400","e68000","e82200","s27860","p27895","e01200","e02000","e90040","e90080","e25800","e26270","e27200","p60100","p61850","e60000","e62100","t27800","e11900","BusinessGrossProfit","BusinessGrossIncome","CarryoverCharity","Total_Federal_Taxes","irs_county_name","state","statefip","suppressed"
48084,7074,13438,4059,3976,574286,414768,17232,15871,43105,21411,-102,1176,2118,78044,10668,31522,1390,88894,88772,395,11326,28789,13659,15609,420,13864,28415,447195,2843,782,80,171,44973,4291,62666,4232,11396,1676,396,625,3,2,314,60,579,621,1002,334,73,26,394,45156,1169,722,1066,55609,13131,217,39,504,125,109,813,60466,1204,26,4,137,59052,11853,0,138,41,5424,4,249,107542,2320,126,1649,9294,7,1694,304,2688,332,2088,11432,912,437,425,390,339,4337,11784,5118,2287,9649,12719,2049,4198,517,237,3288,3535,4870,3280,4378,11832,1534,2673,422,3994,6634,389,5135,1677,1851,170,397,2226,29,28,25,33,48,491,1251,478,438,16687,1800,17361,4486,4505,2155,993,213,130,348,52873,97987,2917,1399,49146,215,2100,9731,202584,218308,181,-2533,86556,89473,-2601,-2408,"OAKLAND","MI",26,2
48085,11457,24285,8499,5971,843183,639091,22644,14399,24249,23607,-64,1763,2036,141398,19883,55291,1071,113720,113047,826,16500,48596,21135,24865,652,26896,56884,596464,5257,1623,135,365,53232,4928,76859,5204,10262,3183,647,1001,4,3,498,105,985,667,1191,376,112,40,705,74195,2093,1234,1969,57729,25371,312,49,465,163,137,1421,64921,1318,28,6,176,91357,7940,0,183,59,5568,6,414,148678,1887,136,2775,17771,8,2816,423,3528,503,1782,11725,912,497,674,502,312,5712,7700,5816,2991,9345,12964,2575,4463,720,305,3626,4064,6772,3593,4798,10832,2067,2947,590,4600,10544,610,5157,2308,2291,219,269,2375,37,35,37,42,55,644,1449,556,360,8701,2225,9140,6540,6307,2988,1414,311,194,511,61784,126538,3521,1859,55719,343,804,10186,232847,248796,270,-7025,114813,118334,-2864,-6888,"OAKLAND","MI",26,2
48086,162,502,201,180,30453,31414,31,56,1085,0,0,0,0,570,16,605,43,6580,6254,0,2,18,5,194,0,177,214,30419,12,5,0,5,2753,25,1725,18,29,60,8,32,0,0,4,2,20,0,16,68,6,1,12,946,95,49,83,7511,1313,1,0,8,13,14,0,9978,0,4,0,7,8655,5,0,0,0,76,0,4,5581,37,14,77,14,1,36,7,7,25,86,2154,21,12,17,32,7,95,34,20,46,7,705,134,390,55,25,194,142,158,110,131,449,23,70,40,572,3698,15,303,652,221,22,0,19,0,0,3,4,7,42,56,74,10,44,45,45,105,112,38,42,23,13,30,10549,15022,124,123,9620,12,52,2850,20602,20260,18,606,12868,12992,-26,620,"OAKLAND","MI",26,2
48088,11595,21194,5724,6935,513607,376777,16862,7009,7982,8035,-542,1054,63,76607,8519,26288,157,50357,48807,1417,13265,52316,21082,11251,451,13434,32418,336512,4089,1442,93,671,22962,1838,88580,2593,4509,1392,608,700,2,15,531,75,755,21,378,53,60,35,474,69117,1038,726,922,3417,8448,374,74,127,55,28,30,5528,15,3,6,175,57012,1248,0,309,45,400,7,385,55935,331,40,3154,7493,2,2546,299,2902,310,183,3672,261,134,462,348,83,2580,75,2471,603,6419,6997,900,2949,331,96,2200,2751,3273,2648,1442,1700,578,1834,224,948,5089,174,2550,848,598,78,1,1786,11,10,12,11,14,213,835,103,60,2485,264,2625,1177,2789,1441,421,102,68,50,13061,64579,1091,914,8861,243,552,4360,37234,42917,108,-13839,60907,61998,-522,-13800,"MACOMB","MI",26,2
48089,14165,27663,9810,8780,455610,380074,7081,2674,5056,8355,-121,354,2,57367,5573,17822,67,37697,35360,6607,6260,27975,8616,8447,334,8154,26034,266019,4554,1678,127,3078,16343,1232,109810,1899,1929,928,627,633,1,7,601,63,703,39,347,32,48,39,412,75758,841,637,679,1960,4697,351,100,72,40,16,56,2840,26,1,7,187,64170,652,0,707,44,351,9,375,38543,301,39,3232,4841,1,2483,272,2372,307,76,5718,314,192,531,415,104,3098,29,1230,407,2559,6195,695,2797,315,71,1906,2448,2557,2407,1064,1765,519,2248,181,629,3703,166,2768,598,407,91,1,1875,18,17,9,7,11,172,830,63,31,1706,156,1800,957,2607,1555,323,57,38,-84,6531,46377,197,507,5588,238,2023,1854,17172,21819,67,-17862,40660,40857,-385,-17823,"MACOMB","MI",26,2
48090,551,1321,534,369,63443,76768,1055,1067,1009,77,0,13,2,5658,906,2006,35,13817,6211,81,155,1170,376,1182,8,1037,2959,67820,9855,48,4,57,4600,589,4527,251,784,244,30,62,0,0,23,5,48,5,49,78,9,2,34,3462,105,64,79,13365,1038,14,2,59,21,21,8,12375,7,5,0,14,17068,148,0,12,2,443,0,15,11249,127,19,185,785,1,226,33,201,42,201,1838,61,35,43,42,20,389,190,356,329,501,1620,282,465,75,39,367,288,630,239,459,666,168,175,53,772,1400,63,479,411,330,29,2,72,0,0,4,6,9,70,116,89,46,515,261,534,638,456,238,116,33,19,56,12187,10950,249,168,10740,23,36,3357,33835,34255,26,258,9113,9362,-241,277,"MACOMB","MI",26,2
48091,14539,27223,9033,8961,479340,377013,11502,3969,5797,9338,-127,465,28,69397,6646,20561,19,40954,39310,5777,8196,36151,11669,9068,362,10239,27992,281982,4182,1489,110,2674,17887,1595,110880,2151,2694,1156,642,677,1,9,620,66,705,37,401,45,51,40,440,75453,863,648,700,2292,5153,380,100,89,44,20,20,3783,24,2,8,192,59069,882,0,677,38,429,9,403,43662,389,40,3603,5794,2,1951,274,1772,318,140,5663,336,190,575,439,109,3211,5,1596,491,3722,7259,769,3065,344,79,2179,2715,2949,2649,1264,2036,582,2448,198,771,4082,183,2947,697,475,101,1,1997,17,16,10,8,13,196,934,77,38,1412,198,1503,1128,2842,1657,344,67,44,-152,8408,60668,206,612,6784,248,3188,1962,16908,22902,75,-17342,55005,55211,-355,-17301,"MACOMB","MI",26,2
48092,12650,23497,6752,7567,548514,411816,16608,7627,8705,10187,-353,784,127,82543,9593,28345,106,55572,54275,2648,12558,50529,19779,12091,540,15124,34332,356572,4323,1446,110,1183,25017,2153,98427,2784,4943,1565,647,753,2,10,570,78,803,58,525,72,64,38,498,73677,1135,786,1008,7392,9563,389,83,145,63,35,66,9253,73,4,6,190,56803,2008,0,413,53,787,7,422,64946,510,49,3562,8396,2,2477,320,2955,336,261,5000,384,192,511,399,125,3126,816,2714,693,7291,8035,1011,3407,369,109,2506,3058,3542,2955,1677,2474,671,2088,254,1160,5400,201,2925,929,684,92,19,1991,14,13,13,13,18,243,927,129,74,2478,334,2614,1451,3120,1633,456,111,72,62,14321,72156,1387,904,9631,259,603,3767,48154,53045,114,-15699,67157,68543,-599,-15650,"MACOMB","MI",26,2
48093,12154,21431,5665,7221,537266,373630,22416,11174,11032,8804,-44,944,190,79851,9822,27941,261,54993,53739,1906,15193,63066,25695,11594,572,14803,31428,362676,3942,1348,113,931,25986,2420,94780,3159,7051,1491,627,759,3,15,545,76,772,54,587,78,63,37,486,70927,1159,806,1011,8346,9709,374,83,170,62,36,60,10316,69,5,6,187,52431,2855,0,329,50,840,7,419,67066,601,51,3520,8655,2,2264,318,2914,329,298,4644,402,188,494,388,129,3071,805,3353,754,9564,8623,1034,3399,365,111,2589,3094,3742,2993,1805,2652,690,2011,255,1232,5327,201,2874,932,717,91,20,1892,12,11,13,13,18,246,913,136,93,3848,395,4041,1543,3122,1620,481,111,73,77,15664,72130,1563,969,10804,253,572,3741,51456,56423,114,-15090,67486,69049,-667,-15039,"MACOMB","MI",26,2
48094,8127,16971,5560,5124,601337,414311,21987,10251,26582,15686,-3,830,944,105278,13356,38953,1107,88192,87746,991,11887,40933,15712,17370,569,17863,47295,428999,3259,1067,80,458,41677,4750,73268,4379,8246,2162,441,620,4,3,329,66,710,590,786,311,73,28,432,52181,1190,735,1030,46399,12672,222,39,494,120,102,1618,52880,1172,23,4,147,64236,10347,0,127,52,6691,5,288,101757,2216,115,1962,11543,6,2439,351,4192,345,2212,10261,911,431,491,415,298,4816,6692,4092,2642,6253,15108,1990,4679,516,225,3747,3807,5754,3682,4378,9619,2024,3636,393,3769,6662,484,5895,1572,1776,162,206,1745,20,19,24,31,44,473,1344,428,415,10017,2101,10501,6102,5333,2787,1059,206,127,232,47026,90850,2242,1624,38380,229,1058,13355,192050,208430,178,-5146,80588,82830,-1686,-5032,"MACOMB","MI",26,2
