"zipcode","n1","pp_num","n2","numdep","e00100","e00200","e00300","e00600","e00900","e01000","e01400","e01700","e02500","e03300","FscheA_28","e18425","e18450","e18500","FscheA_9","FscheA_10","e19700","e04800","e07100","e07220","e07180","EIC","e59720","e09600","F1040_57","e10300","a11900gt0","p04470","e00400","e00650","e00700","e00800","e01100","e01500","e02400","e03210","e03220","e03230","e03260","e03270","e03240","e03290","e03400","e03500","e04600","e05100","e05200","e06000","e06200","e06300","e07230","e07240","e07300","e07400","e07600","e07150","e08800","e09400","e09700","e09800","e09900","e10700","e10900","e59560","e59700","e11070","e11100","e11300","e11600","e10605","e12000","e12200","e17500","e19800","e19850","e20550","e20600","e20400","e20500","e21040","e90050","e90190","e90210","e90240","e90250","e90280","e90370","e90100","e22370","e24515","e24516","e25350","e25360","e25370","e25380","e25470","e25500","e25820","e25850","e25860","e25940","e25980","e25920","e25960","e26110","e26170","e26190","e26160","e26180","e26100","e26390","e26400","e30400","e30500","e32800","e33000","e53220","e53240","e53280","e53410","e58950","e58990","e62900","e62720","e62730","e62740","p65300","p65400","e68000","e82200","s27860","p27895","e03150","e05800","e02100","e01200","e02000","e90040","e90080","e25800","e26270","e27200","p60100","p61850","e60000","e62100","t27800","e11900","BusinessGrossProfit","BusinessGrossIncome","CarryoverCharity","Total_Federal_Taxes","irs_county_name","state","statefip","suppressed"
48005,2678,1758,5585,1691,140350,107408,2411,1095,1740,180,3834,13932,4609,0,21970,3208,227,3164,7061,7964,2254,94321,1353,734,35,622,479,70,14031,14616,866,2703,638,642,569,157,178,16934,10927,186,19,111,132,167,40,52,6,143,17970,14372,14807,77430,28088,12453,265,17,59,23,8,1856,11983,243,2,0,112,19100,226,2553,75,241,357,3,83,13370,206,10,1156,1874,1,1008,87,1030,74,290,6007,344,200,122,110,107,1018,2000,42,203,1640,2734,261,1111,98,29,764,826,1041,845,579,1314,219,1011,65,492,10139,60,940,393,265,46,1267,661,173,170,4,4,5,72,495,45,28,459,121,478,555,982,528,126,30,19,195,13398,-271,-9,3820,13390,51,324,3536,21,282,484,10994,12002,-25,-3908,7383,7434,-11,-3898,"MACOMB","MI",26,2
48007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OAKLAND","MI",26,0
48009,10802,7192,21291,6189,1382182,1130230,63065,48459,19575,139180,52368,47776,26151,7670,333573,76541,462,54780,136893,77636,46653,1082902,11141,1162,286,1058,682,11688,276835,285404,13823,14277,20992,37037,6116,570,1074,90743,60278,581,92,493,5398,5886,1258,534,27,646,98621,251699,283619,648203,458287,229540,839,56,4013,784,218,12884,259819,10922,97,1,840,154930,78986,2369,132,796,30117,16,559,330322,19542,214,7235,39373,24,6320,1219,20061,709,14964,98538,8459,3780,966,1247,2820,16471,113471,1732,9717,151185,51572,7046,12727,1470,738,11514,9281,18482,8899,24381,93251,7728,21234,1176,15057,41999,1387,15914,3872,7437,645,49627,8741,1161,1130,64,111,168,1670,13142,1744,2883,109361,8571,114283,21640,15627,7954,3470,568,332,1240,280143,-2668,1108,154377,232404,10831,3470,148541,203,2717,48006,703328,760632,-1034,-5164,133866,144697,-11592,-4950,"OAKLAND","MI",26,2
48012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OAKLAND","MI",26,0
48015,3793,2314,7146,2533,174793,109935,2223,682,3534,48358,5191,18830,3785,0,17760,3406,225,2218,5976,6527,2850,121761,12826,771,92,1689,1432,0,18233,18935,2614,4115,659,430,703,200,193,23060,9269,250,22,112,300,228,39,52,10,146,25071,21200,22410,101340,42086,15174,335,30,47,19,7,2305,11671,580,1,1,126,21155,306,9338,228,481,1362,4,123,13720,238,10,1652,2253,1,1400,108,1436,93,489,7328,510,287,141,135,161,1144,5183,38,298,1021,3515,236,1261,97,24,883,962,1100,975,781,2294,278,1408,62,405,50171,53,960,458,187,37,3017,676,435,430,3,3,4,62,660,27,15,254,135,269,510,971,552,97,23,15,222,17845,-328,-31,1329,13765,191,247,1251,21,213,749,8571,9623,-17,-6784,6437,6628,194,-6775,"MACOMB","MI",26,2
48017,6517,3483,11973,3399,326649,263165,3077,2469,7619,2966,10508,21939,6348,0,50082,7533,221,7853,16566,15964,4756,230483,2854,1331,142,1163,1090,135,34507,35295,2239,7062,1443,1291,1222,386,400,27535,21932,452,48,240,406,431,73,119,16,322,45456,33955,34430,202657,73048,32318,622,48,92,49,17,4038,30950,743,3,1,270,43231,557,4934,223,693,406,7,217,31175,352,23,3319,3858,1,3464,242,4724,180,167,14367,891,517,266,258,285,2396,5915,99,429,2748,5830,552,2364,210,64,1636,1918,2171,1961,906,2277,364,1693,147,882,13510,120,1870,775,529,81,3161,1714,595,590,8,8,11,143,718,92,33,1204,223,1267,906,1921,1092,240,66,43,477,31526,-596,-23,10718,34024,362,645,10188,49,514,4439,25212,29359,-54,-10860,19657,20019,-14,-10837,"OAKLAND","MI",26,2
48021,15442,9256,31292,11303,581353,432418,6185,3473,11650,-1943,10918,58526,10854,0,69785,10141,487,11347,22920,24067,11790,352879,6912,3424,266,9461,8039,125,45755,48579,4263,16721,2887,2055,1549,797,783,72450,39993,1009,86,449,1133,844,52,191,40,568,104315,50122,50583,339527,137923,49526,1258,130,139,49,17,10163,37335,2151,2,3,455,70872,1078,54555,832,2290,389,19,516,49587,630,34,8055,9852,2,6736,475,7886,351,154,29101,2084,1193,595,563,653,4556,20304,158,515,4198,10872,862,4125,363,89,2831,3622,4115,3682,1427,2952,652,3021,225,895,7460,194,3346,792,659,179,11457,2759,1121,1110,11,9,15,213,1192,87,48,2257,207,2377,1265,3458,1997,454,76,50,895,45954,-1286,-192,7091,52354,83,971,6027,75,1150,5220,33237,40078,-56,-29523,23253,23336,208,-29489,"MACOMB","MI",26,2
48025,7622,5185,15737,4771,888953,632246,91542,52608,59214,57779,40246,56971,27008,5571,246061,51983,907,34150,88881,47414,29914,691167,7145,1043,120,401,338,5688,167249,174184,10987,9968,16071,37113,3727,412,800,114901,73492,403,69,380,4647,4229,774,359,19,495,62766,156600,173417,460476,293410,156888,624,41,2646,497,141,8937,168321,9769,61,1,591,110234,61387,1175,82,553,15469,11,392,215493,12295,138,5192,26125,15,3981,851,12367,476,7784,66202,5734,2613,663,825,1962,11285,83185,1500,5641,108860,34799,4705,8650,957,483,8046,6297,12637,6516,14526,51010,4611,13086,766,9435,26506,864,10478,2546,4745,424,37075,6526,429,418,43,70,105,1064,7691,1104,1799,66106,4951,68568,13359,10397,5230,2266,375,221,849,172697,-2003,592,99395,147332,6916,2920,94994,142,2220,25291,437575,472825,-648,-4401,81130,88046,-6538,-4264,"OAKLAND","MI",26,2
48026,7211,4315,13806,4296,345179,265985,4204,2913,9710,123,10659,35731,9937,234,44491,7142,279,8282,16173,15160,5738,235964,3379,1536,97,2200,1867,239,36156,37551,3987,7879,1808,1636,968,401,475,44874,26447,500,49,248,728,965,75,121,18,341,49155,37047,37204,237674,95402,38040,621,64,147,50,18,5298,29859,1417,4,1,278,51487,1358,8382,276,815,542,9,243,39412,448,26,3672,5129,1,2710,271,3439,191,288,20158,1779,785,307,318,535,2842,20452,102,460,2655,6669,598,2617,234,67,1860,2117,2351,2187,1111,1975,474,2289,146,969,10578,134,2304,724,560,105,8768,1889,400,399,8,8,12,159,961,95,66,2115,256,2197,1167,2308,1226,378,68,44,583,34420,-659,-101,10593,47554,1253,616,10197,50,569,3624,38527,43191,-55,-12667,27395,28649,-455,-12641,"MACOMB","MI",26,2
48030,6861,3869,13535,4736,223631,175762,1122,827,6898,-1090,6206,14988,3637,0,19455,3104,217,3513,6969,7319,2887,132577,2208,1128,65,4508,3955,0,17241,18624,2127,7469,966,469,535,328,287,18639,15100,448,30,184,496,364,8,69,19,212,45708,18371,18062,141638,56942,19674,542,60,33,12,4,3147,13084,930,0,1,153,26260,415,25578,403,1166,106,9,203,16964,223,12,2732,2496,1,2220,125,1947,145,6,12289,917,535,255,241,297,1932,8732,46,129,947,3776,289,1671,144,28,1030,1401,1356,1463,420,985,226,1293,78,200,1581,69,1463,235,185,74,4524,1247,247,243,4,3,4,71,429,19,7,387,28,409,377,1253,774,131,22,15,329,15676,-482,-125,357,24400,179,242,-118,26,412,331,1949,2762,-15,-13263,12111,12290,-94,-13251,"OAKLAND","MI",26,2
